name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,draft_year,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Ahkello Witherspoon,Cornerback,Colorado,Pac-12,75.0,198.0,4.45,,40.5,127.0,6.93,4.13,22.0,2,0,0,1,1,0,0,19.0,0.0,0.0,19.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Fabian Moreau,Cornerback,UCLA,Pac-12,73.0,206.0,4.35,,38.0,136.0,6.94,4.12,23.0,3,0,0,1,1,1,0,9.0,0.0,0.0,24.0,0.0,1.0,31.0,,,,,,,,,,,,,,,,,,,,16.0,2.0,0.0,32.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Shaquill Griffin,Cornerback,UCF,American Athletic,72.0,194.0,4.38,17.0,38.5,132.0,6.87,4.14,22.0,3,0,1,1,1,0,0,14.0,0.0,0.0,30.0,1.0,2.5,48.0,51.0,2.0,1.0,102.0,,,,,,,,,,,,,,,,11.5,4.0,1.0,46.0,,,,,,,,,,,,,,,,20.0,1.0,0.0,20.0,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Jourdan Lewis,Cornerback,Michigan,Big Ten,70.0,188.0,4.54,15.0,34.5,121.0,,,22.0,4,1,1,1,1,0,0,9.0,0.0,0.0,18.0,0.0,3.5,27.0,23.0,2.0,1.0,46.0,,,,,,6.0,6.0,1.0,0.0,6.0,18.1,45.0,7.0,0.0,127.0,0.0,2.0,0.0,0.0,-0.5,0.0,2.0,0.0,-1.0,25.2,55.0,15.0,0.0,378.0,,,,,,2.0,2.0,0.0,4.0,18.0,18.0,1.0,0.0,18.0,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Cordrea Tankersley,Cornerback,Clemson,ACC,73.0,199.0,4.4,13.0,29.5,121.0,7.0,4.32,23.0,2,0,0,0,1,1,0,11.0,0.0,0.0,39.0,0.0,6.0,52.0,10.0,5.0,1.0,50.0,,,,,,,,,,,,,,,,5.5,4.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Rasul Douglas,Cornerback,West Virginia,Big 12,74.0,209.0,4.59,16.0,33.5,120.0,6.97,4.26,22.0,2,0,0,1,1,0,0,8.0,0.0,1.0,49.0,1.0,3.5,70.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,12.6,8.0,1.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Howard Wilson,Cornerback,Houston,American Athletic,73.0,184.0,4.57,,33.5,119.0,6.68,3.94,21.0,3,1,1,1,0,0,0,10.0,0.0,0.0,45.0,1.0,2.5,54.0,5.0,1.0,0.0,5.0,,,,,,,,,,,,,,,,11.6,5.0,1.0,58.0,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Damontae Kazee,Cornerback,San Diego State,Mountain West,70.0,184.0,4.54,11.0,34.0,124.0,,,24.0,4,0,0,1,1,1,1,8.0,0.0,0.0,46.0,1.0,3.0,67.0,7.3,8.0,1.0,58.0,14.0,66.0,5.0,1.0,70.0,,,,,,,,,,,22.3,7.0,1.0,156.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,2017,,,,,,,,,,,,,,,,,,,,,
Desmond King,Cornerback,Iowa,Big Ten,70.0,201.0,,14.0,34.0,117.0,6.67,4.18,22.0,3,0,1,1,1,0,0,7.0,0.0,0.0,42.0,1.0,3.5,58.0,14.8,8.0,1.0,118.0,14.2,38.0,17.0,0.0,241.0,,,,,,27.8,77.0,27.0,0.0,750.0,13.7,3.0,1.0,41.0,10.2,44.0,26.0,0.0,264.0,24.4,58.0,29.0,0.0,708.0,-0.5,0.0,2.0,0.0,-1.0,24.0,3.0,1.0,72.0,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Corn Elder,Cornerback,Miami,ACC,70.0,183.0,4.55,,,,,,22.0,4,1,1,1,1,0,0,12.0,1.0,3.0,55.0,0.0,4.5,76.0,23.5,2.0,0.0,47.0,13.8,72.0,11.0,1.0,152.0,,,,,,,,,,,2.0,1.0,0.0,2.0,,,,,,21.1,91.0,8.0,1.0,169.0,,,,,,,,,,23.4,39.0,7.0,0.0,164.0,0.0,0.0,1.0,0.0,0.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Nate Hairston,Cornerback,Temple,American Athletic,72.0,196.0,4.52,14.0,35.5,118.0,,,23.0,1,0,0,0,0,1,0,3.0,0.0,0.0,23.0,0.0,3.0,27.0,,,,,,,,,,,,,,,12.0,12.0,1.0,0.0,12.0,14.5,2.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Treston Decoud,Cornerback,Oregon State,Pac-12,74.0,206.0,,,,,,,24.0,1,0,0,0,0,0,1,10.0,0.0,0.0,46.0,0.0,2.0,58.0,,,,,,,,,,,,,,,,,,,,44.0,2.0,0.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Brian Allen,Cornerback,Utah,Pac-12,75.0,215.0,4.48,15.0,34.5,117.0,6.64,4.34,23.0,2,0,0,0,1,1,0,6.0,0.0,1.0,27.0,0.0,4.5,35.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Jeremy Clark,Cornerback,Michigan,Big Ten,75.0,220.0,,20.0,,,,,23.0,2,0,0,0,1,1,0,2.0,0.0,0.0,7.0,0.0,0.0,11.0,6.7,3.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Derrick Jones,Cornerback,Ole Miss,SEC,74.0,189.0,,,,,,,22.0,1,0,0,0,1,0,0,3.0,0.0,0.0,15.0,1.0,1.5,21.0,,,,,,,,,,,,,,,,,,,,27.0,2.0,1.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Brandon Wilson,Cornerback,Houston,American Athletic,70.0,198.0,,,,,,,23.0,2,0,0,0,1,1,0,5.0,0.0,2.0,29.0,0.0,4.0,43.0,51.0,1.0,1.0,51.0,,,,,,,,,,,24.3,56.0,21.0,0.0,510.0,0.0,1.0,0.0,0.0,,,,,,26.6,100.0,23.0,2.0,611.0,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Marquez White,Cornerback,Florida State,ACC,72.0,194.0,4.59,,36.0,123.0,,,22.0,4,1,1,1,1,0,0,4.0,0.0,0.0,19.0,0.0,2.0,25.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,7.0,2.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2017,,,,,,,,,,,,,,,,,,,,,
Jalen Myrick,Cornerback,Minnesota,Big Ten,70.0,200.0,4.28,13.0,37.5,124.0,7.06,4.22,22.0,3,0,1,1,1,0,0,11.0,0.0,0.0,29.0,0.0,3.5,41.0,10.0,3.0,1.0,30.0,,,,,,26.7,100.0,19.0,1.0,508.0,22.1,56.0,13.0,0.0,287.0,0.0,1.0,0.0,0.0,4.9,17.0,9.0,0.0,44.0,21.4,29.0,12.0,0.0,257.0,,,,,,31.0,1.0,1.0,31.0,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,
Jack Tocho,Cornerback,NC State,ACC,72.0,202.0,4.54,21.0,35.0,125.0,,,21.0,4,1,1,1,0,0,0,9.0,0.0,1.0,33.0,0.0,2.0,37.0,8.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,25.0,2.0,0.0,50.0,2017,,,,,,,,,,,,,,,,,,,,,
Denzel Ward,Cornerback,Ohio State,Big Ten,71.0,183.0,4.32,16.0,39.0,136.0,,,21.0,2,0,1,1,0,0,0,15.0,0.0,0.0,30.0,0.0,2.0,37.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,10.0,10.0,1.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,9.0,0.0,0.0,12.0,0.0,0.0,23.0,,,,,,,,,,,,,,
Jaire Alexander,Cornerback,Louisville,ACC,70.0,196.0,4.38,14.0,35.0,127.0,6.71,3.98,21.0,3,1,1,1,0,0,0,4.0,0.0,0.0,13.0,0.0,1.0,19.0,7.4,5.0,0.0,37.0,9.1,69.0,23.0,1.0,210.0,,,,,,,,,,,0.0,1.0,0.0,0.0,6.0,6.0,1.0,0.0,6.0,14.0,14.0,1.0,0.0,14.0,9.7,33.0,23.0,0.0,223.0,5.0,1.0,0.0,5.0,,,,,,,,,,,,,,,2018,9.0,3.0,0.0,31.0,1.0,1.0,39.0,,,,,,,,,,,,,,
Mike Hughes,Cornerback,UCF,American Athletic,70.0,189.0,4.53,20.0,35.5,127.0,6.7,4.13,21.0,3,1,1,1,0,0,0,11.0,0.0,0.0,37.0,4.0,0.5,49.0,,,,,,,,,,35.3,43.0,3.0,0.0,106.0,31.8,95.0,20.0,2.0,635.0,23.0,4.0,1.0,92.0,16.6,66.0,14.0,1.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,
Josh Jackson,Cornerback,Iowa,Big Ten,72.0,196.0,4.56,18.0,38.0,123.0,6.86,4.03,22.0,2,0,0,1,1,0,0,18.0,0.0,0.0,34.0,2.0,0.5,48.0,,,,,,,,,,,,,,,,,,,,21.0,8.0,2.0,168.0,7.2,17.0,5.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,4.0,0.0,0.0,10.0,0.0,1.0,10.0,,,,,,,,,,,,,,
M.J. Stewart,Cornerback,North Carolina,ACC,71.0,200.0,4.54,18.0,35.0,118.0,6.9,4.28,22.0,4,1,1,1,1,0,0,12.0,2.0,2.0,33.0,0.0,5.0,45.0,,,,,,,,,,,,,,,18.0,23.0,2.0,0.0,36.0,,,,,11.3,41.0,15.0,0.0,170.0,,,,,,,,,,,5.3,4.0,0.0,21.0,,,,,,,,,,,0.0,2.0,0.0,0.0,2018,11.0,0.0,0.0,48.0,0.0,3.5,66.0,,,,,,,,,,,,,,
Donte Jackson,Cornerback,LSU,SEC,71.0,178.0,4.32,7.0,,124.0,,,22.0,3,0,1,1,1,0,0,9.0,1.0,1.0,32.0,0.0,3.5,48.0,20.0,2.0,0.0,40.0,,,,,,20.5,27.0,8.0,0.0,164.0,,,,,,0.0,1.0,0.0,0.0,,,,,,23.4,40.0,7.0,0.0,164.0,1.5,6.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,2018,8.0,0.0,0.0,32.0,0.0,0.0,39.0,,,,,,,,,,,,,,
Duke Dawson,Cornerback,Florida,SEC,71.0,197.0,4.46,15.0,,,,,21.0,4,0,1,1,0,0,0,9.0,0.0,0.0,23.0,1.0,2.0,34.0,37.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,13.5,4.0,1.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,1.0,1.0,36.0,2018,7.0,0.0,0.0,18.0,1.0,3.5,24.0,,,,,,,,,,,,,,
Isaiah Oliver,Cornerback,Colorado,Pac-12,72.0,201.0,4.5,,,,,,21.0,2,0,1,1,0,0,0,12.0,0.0,0.0,20.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,10.5,68.0,15.0,1.0,158.0,,,,,,,,,,,20.5,2.0,0.0,41.0,3.2,7.0,5.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,7.0,0.0,0.0,23.0,1.0,0.0,34.0,,,,,,,,,,,,,,
Carlton Davis,Cornerback,Auburn,SEC,73.0,206.0,4.53,16.0,34.0,124.0,,,21.0,3,1,1,1,0,0,0,11.0,0.0,0.0,23.0,0.0,0.5,30.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,2018,10.0,0.0,0.0,37.0,0.0,2.0,46.0,,,,,,,,,,,,,,
Rashaan Gaulden,Cornerback,Tennessee,SEC,73.0,197.0,4.61,8.0,30.0,119.0,7.16,4.33,23.0,2,0,0,0,1,1,0,5.0,1.0,0.0,35.0,0.0,3.5,63.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,4.0,1.0,0.0,52.0,0.0,6.0,68.0,,,,,,,,,,,,,,
Isaac Yiadom,Cornerback,Boston College,ACC,73.0,190.0,4.52,8.0,,120.0,,4.18,22.0,3,0,1,1,1,0,0,7.0,0.0,0.0,36.0,0.0,1.0,53.0,,,,,,,,,,,,,,,,,,,,15.0,2.0,0.0,30.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,2018,10.0,0.0,0.0,17.0,0.0,2.0,26.0,,,,,,,,,,,,,,
Nick Nelson,Cornerback,Wisconsin,Big Ten,71.0,200.0,4.52,17.0,,123.0,,,21.0,3,1,1,1,0,0,0,17.0,2.0,0.0,21.0,1.0,0.0,30.0,,,,,,,,,,24.0,24.0,1.0,0.0,24.0,,,,,,,,,,8.6,50.0,24.0,1.0,206.0,,,,,,7.4,37.0,19.0,0.0,141.0,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,
Anthony Averett,Cornerback,Alabama,SEC,71.0,183.0,4.36,13.0,31.5,119.0,6.93,4.4,23.0,2,0,0,0,1,1,0,8.0,0.0,1.0,31.0,0.0,4.0,48.0,,,,,,,,,,,,,,,,,,,,30.0,1.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8.0,0.0,1.0,39.0,0.0,3.0,48.0,,,,,,,,,,,,,,
Avonte Maddox,Cornerback,Pittsburgh,ACC,69.0,184.0,4.39,13.0,37.0,125.0,6.51,4.0,22.0,4,1,1,1,1,0,0,11.0,1.0,4.0,20.0,0.0,4.0,27.0,11.0,3.0,1.0,33.0,0.5,1.0,2.0,0.0,1.0,30.3,89.0,6.0,1.0,182.0,16.0,16.0,1.0,0.0,16.0,0.0,2.0,0.0,0.0,,,,,,20.0,20.0,1.0,0.0,20.0,6.0,25.0,8.0,0.0,48.0,10.0,3.0,1.0,30.0,19.9,35.0,11.0,0.0,219.0,,,,,,,,,,2018,8.0,0.0,2.5,39.0,1.0,8.5,49.0,,,,,,,,,,,,,,
D.J. Reed,Cornerback,Kansas State,Big 12,69.0,186.0,4.51,11.0,36.5,,,,21.0,2,0,1,1,0,0,0,7.0,0.0,0.0,34.0,2.0,4.5,40.0,11.7,3.0,1.0,35.0,,,,,,,,,,,32.3,99.0,18.0,1.0,581.0,8.0,4.0,0.0,32.0,14.9,62.0,17.0,1.0,253.0,28.3,76.0,9.0,0.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,2018,16.0,1.0,0.0,62.0,1.0,0.5,75.0,,,,,,,,,,,,,,
Dane Cruikshank,Cornerback,Arizona,Pac-12,73.0,209.0,4.41,25.0,38.5,121.0,6.89,4.24,23.0,2,0,0,0,1,1,0,5.0,0.0,1.0,49.0,0.0,5.0,64.0,1.5,2.0,0.0,3.0,,,,,,,,,,,,,,,,21.7,3.0,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,7.0,0.0,0.0,53.0,0.0,1.5,60.0,,,,,,,,,,,,,,
Darius Phillips,Cornerback,Western Michigan,Mid-American,70.0,193.0,4.54,,,,,,23.0,4,0,1,1,1,1,0,10.0,0.0,1.0,28.0,3.0,5.0,40.0,65.8,4.0,3.0,263.0,10.6,66.0,21.0,1.0,223.0,23.1,100.0,37.0,1.0,854.0,26.3,100.0,26.0,2.0,683.0,21.0,3.0,1.0,63.0,7.4,49.0,14.0,0.0,104.0,22.5,100.0,37.0,1.0,833.0,,,,,,10.0,5.0,1.0,50.0,26.4,93.0,30.0,1.0,792.0,,,,,,,,,,2018,9.0,0.0,1.0,26.0,5.0,4.0,40.0,,,,,,,,,,,,,,
Parry Nickerson,Cornerback,Tulane,American Athletic,70.0,182.0,4.32,15.0,,,,,23.0,4,0,1,1,1,1,0,8.0,0.0,0.0,48.0,0.0,2.0,55.0,42.8,4.0,1.0,171.0,-5.5,0.0,2.0,0.0,-11.0,,,,,,,,,,,1.3,6.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.0,24.0,2018,9.0,0.0,0.0,20.0,1.0,0.0,29.0,,,,,,,,,,,,,,
Chris Campbell,Cornerback,Penn State,Big Ten,73.0,195.0,,14.0,,,,,22.0,4,1,1,1,1,0,0,10.0,0.0,1.0,29.0,0.0,2.5,47.0,18.0,1.0,0.0,18.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,1.0,0.0,-2.0,2018,5.0,0.0,0.0,17.0,0.0,1.0,30.0,,,,,,,,,,,,,,
Simeon Thomas,Cornerback,Louisiana,Sun Belt,75.0,190.0,,,,,,,24.0,2,0,0,0,0,1,1,12.0,0.0,0.0,33.0,0.0,3.0,42.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,5.0,1.0,0.0,24.0,0.0,0.0,40.0,,,,,,,,,,,,,,
Kamrin Moore,Cornerback,Boston College,ACC,71.0,202.0,,,,,,,21.0,2,0,1,1,0,0,0,9.0,0.0,0.0,29.0,0.0,2.0,50.0,-0.5,2.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,5.0,0.0,0.0,33.0,0.0,1.5,43.0,,,,,,,,,,,,,,
