name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Stephen Daley,Defensive End,Indiana,Big Ten,73.0,273,,,,,,,1,0,0,0,0,0,0,Indiana,0.0,5.0,5.5,24.0,0.0,19.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Williams,Defensive End,Duke,ACC,75.0,256,4.89,,35.5,120.0,,,3,0,0,0,0,0,0,Duke,1.0,16.0,2.0,21.0,0.0,8.0,43.0,0.0,0.0,1.0,Duke,,,,2.0,9.0,7.0,20.0,0.0,12.5,47.0,1.0,2.0,1.5,10.0,0.0,6.5,37.0,,,,Duke,,,,,,,,,,,
Isaiah Smith,Defensive End,SMU,American Athletic,76.0,248,,,,,,,2,0,0,0,0,0,0,SMU,1.0,4.0,9.0,31.0,0.0,18.0,53.0,0.0,0.0,1.0,SMU,,,,1.0,6.0,7.0,13.0,0.0,8.5,31.0,,,,,,,,,,,,,,,,,,,,,,
Cian Slone,Defensive End,NC State,ACC,76.0,252,,,,,,,1,0,0,0,0,0,0,NC State,1.0,16.0,1.5,24.0,0.0,7.0,62.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Marshall,Defensive End,Baylor,Big 12,75.0,293,4.88,,,,,4.68,4,0,0,0,0,0,0,Baylor,0.0,0.0,2.0,14.0,0.0,6.0,30.0,,,,Baylor,,,,0.0,5.0,2.0,25.0,0.0,5.0,41.0,,,,,,,,,,,,Baylor,3.0,2.0,0.0,15.0,0.0,1.0,23.0,,,
Rene Konga,Defensive End,Louisville,American Athletic,76.0,300,,,,,,,4,0,0,0,0,0,0,Louisville,5.0,2.0,1.5,13.0,0.0,5.0,29.0,,,,Louisville,,,,0.0,2.0,2.5,12.0,0.0,3.0,20.0,0.0,2.0,1.0,5.0,0.0,2.0,8.0,,,,Rutgers,Rutgers,2.0,0.0,1.0,2.0,0.0,1.0,6.0,,,
Aidan Hubbard,Defensive End,Northwestern,Big Ten,77.0,260,,21.0,,,,,4,0,0,0,0,0,0,Northwestern,0.0,5.0,7.5,13.0,0.0,10.0,26.0,,,,Northwestern,0.0,0.0,1.0,1.0,7.0,6.0,12.0,1.0,7.0,33.0,1.0,2.0,6.0,17.0,0.0,8.5,26.0,,,,Northwestern,Northwestern,0.0,2.0,1.0,12.0,0.0,1.0,17.0,,,
Tyre West,Defensive End,Tennessee,SEC,75.0,290,,,,,,,4,0,0,0,0,0,0,Tennessee,1.0,1.0,4.0,12.0,0.0,7.5,23.0,,,,Tennessee,,,,0.0,2.0,2.0,8.0,0.0,5.0,16.0,0.0,0.0,2.0,7.0,0.0,3.0,17.0,,,,Tennessee,Tennessee,0.0,4.0,2.0,7.0,0.0,5.0,9.0,,,
Nyjalik Kelly,Defensive End,UCF,Big 12,77.0,256,4.88,,37.0,119.0,,,4,0,0,0,0,0,0,UCF,3.0,8.0,2.0,35.0,0.0,7.5,45.0,,,,UCF,,,,1.0,1.0,5.5,23.0,0.0,9.5,53.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,,,,Miami,Miami,0.0,0.0,4.0,7.0,0.0,4.5,11.0,,,
Wesley Bailey,Defensive End,Louisville,American Athletic,77.0,265,,,,,,,4,0,0,0,0,0,0,Louisville,0.0,5.0,6.0,17.0,0.0,7.0,39.0,,,,Rutgers,,,,1.0,3.0,1.0,4.0,0.0,1.0,11.0,3.0,5.0,4.0,9.0,0.0,4.5,25.0,0.0,0.0,1.0,Rutgers,Rutgers,2.0,5.0,2.5,16.0,0.0,7.0,28.0,0.0,0.0,6.0
Marvin Jones Jr.,Defensive End,Oklahoma,SEC,77.0,245,4.69,,,,,,4,0,0,0,0,0,0,Oklahoma,1.0,2.0,2.0,10.0,0.0,5.0,20.0,,,,Florida State,,,,0.0,3.0,4.0,10.0,0.0,6.0,25.0,0.0,1.0,1.0,7.0,0.0,4.5,12.0,0.0,0.0,1.0,Georgia,Georgia,0.0,0.0,1.0,3.0,0.0,1.0,4.0,,,
Bryan Thomas Jr.,Defensive End,South Carolina,SEC,74.0,249,,,,,,,4,0,0,0,0,0,0,South Carolina,1.0,12.0,7.0,24.0,0.0,11.0,40.0,0.0,0.0,1.0,South Carolina,,,,0.0,2.0,4.5,12.0,0.0,6.5,23.0,0.0,3.0,0.0,11.0,0.0,1.0,21.0,,,,South Carolina,South Carolina,1.0,2.0,0.0,3.0,0.0,0.0,6.0,,,
Ben Bell,Defensive End,Virginia Tech,ACC,74.0,255,,,,,,,1,0,0,0,0,0,0,Virginia Tech,0.0,6.0,2.5,12.0,0.0,5.5,40.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Smith,Defensive End,Arizona State,Pac-12,76.0,245,,,,,,,4,0,0,0,0,0,0,Arizona State,0.0,2.0,4.0,11.0,0.0,6.5,19.0,,,,Arizona State,,,,4.0,12.0,2.5,16.0,0.0,6.0,33.0,,,,,,,,,,,,Oklahoma,0.0,0.0,0.0,3.0,0.0,1.0,5.0,,,
Clay Patterson,Defensive End,Stanford,Pac-12,75.0,280,,,,,,,2,0,0,0,0,0,0,Stanford,1.0,6.0,4.0,13.0,0.0,5.5,33.0,0.0,0.0,1.0,Stanford,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Eddie Walls III,Defensive End,Houston,Big 12,76.0,250,,,,,,,1,0,0,0,0,0,0,Houston,5.0,9.0,7.0,36.0,0.0,11.5,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khordae Sydnor,Defensive End,Vanderbilt,SEC,75.0,272,,,,,,,4,0,0,0,0,0,0,Vanderbilt,3.0,9.0,3.5,11.0,0.0,8.5,30.0,0.0,0.0,1.0,Vanderbilt,,,,2.0,2.0,4.0,8.0,0.0,6.5,14.0,0.0,2.0,2.0,1.0,0.0,3.0,6.0,,,,Purdue,Purdue,0.0,2.0,4.5,16.0,0.0,6.5,19.0,,,
Dominic Bailey,Defensive End,Tennessee,SEC,75.0,292,,,,,,,4,0,0,0,0,0,0,Tennessee,0.0,4.0,4.5,11.0,0.0,6.5,27.0,,,,Tennessee,0.0,0.0,2.0,0.0,5.0,2.0,10.0,0.0,3.5,25.0,0.0,0.0,0.5,7.0,0.0,0.5,13.0,0.0,0.0,1.0,Tennessee,Tennessee,0.0,1.0,0.0,3.0,0.0,1.0,10.0,,,
