name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Jarquez Hunter,Running Back,Auburn,SEC,0.2857142857142857,0.39436619718309857,0.6984853579714164,0.64,0.4230769230769231,0.5,,,0.3333333333333333,4,1,1,1,1,0,0,0.3588907014681892,0.1923076923076923,0.21400211752249865,0.34375000000000006,0.5290697674418605,0.23668639053254434,0.527313769751693,0.5000000000000001,0.34,0.0,0.18421052631578946,0.38190954773869346,0.37435897435897436,0.21875,0.38822121378347385,0.4444444444444445,0.3333333333333333,0.4,0.437137330754352,0.5916666666666667,0.32903225806451614,0.2692307692307692,0.3622257891920813,0.31512605042016806,0.39285714285714285,0.3333333333333333,0.165374677002584,0.1723404255319149,0.350597609561753,0.16666666666666666,0.38212435233160624,0.4625,2025,1.0,1.0,1.0,1.0,1.0
Dylan Sampson,Running Back,Tennessee,SEC,0.14285714285714285,0.3380281690140845,,0.32,0.5384615384615384,0.6818181818181818,,,-0.3333333333333333,3,1,1,0,0,0,0,0.34094616639477976,0.0,0.19653255690841712,0.3312500000000001,0.7354651162790697,0.6508875739644969,0.6582392776523702,0.38,0.32,0.14285714285714285,0.2724458204334365,0.5678391959798996,0.23846153846153847,0.21875,0.2508851543409964,0.4444444444444445,0.041666666666666664,0.0,0.05029013539651837,0.375,0.18064516129032257,0.23076923076923078,0.21348314606741572,0.3277310924369748,,,,,,,,,2025,1.0,1.0,1.0,,1.0
Jordan James,Running Back,Oregon,Big Ten,0.42857142857142855,0.4084507042253521,0.2336804765839288,,,0.36363636363636365,,,0.0,3,1,1,1,0,0,0,0.4486133768352365,0.0,0.2926151402858655,0.38125000000000003,0.6627906976744186,0.44378698224852065,0.5571106094808126,0.3000000000000001,0.28,0.14285714285714285,0.20588235294117646,0.492462311557789,0.24102564102564103,0.34375,0.3208996160175535,0.617283950617284,0.0,0.0,0.015473887814313346,0.2916666666666667,0.14193548387096774,0.19230769230769232,0.10219368646334938,0.21428571428571427,,,,,,,,,2025,0.9,0.9,0.9,,1.0
Jaydon Blue,Running Back,Texas,SEC,0.2857142857142857,0.28169014084507044,0.9637647233263448,,,,,,0.0,3,1,1,1,0,0,0,0.7357259380097878,1.1538461538461537,0.5240868184224456,0.4312500000000001,0.375,0.23668639053254434,0.3146726862302483,0.3000000000000001,0.26,0.14285714285714285,0.21052631578947367,0.5326633165829145,0.13333333333333333,0.09375,0.15887897072757196,0.49382716049382713,,,,,0.041935483870967745,0.0,0.018726591760299626,0.13445378151260504,,,,,,,,,2025,1.0,1.0,1.0,,1.0
DJ Giddens,Running Back,Kansas State,Big 12,0.7142857142857143,0.5070422535211268,0.747040599003748,,0.8846153846153846,0.9545454545454546,,0.3524727127683163,0.3333333333333333,3,0,1,1,1,0,0,0.3588907014681892,0.1923076923076923,0.36394917946003175,0.6500000000000001,0.5813953488372093,0.2071005917159763,0.5914221218961625,0.5399999999999999,0.56,0.42857142857142855,0.5015479876160991,0.6080402010050252,0.5384615384615384,0.3125,0.5304941903954521,0.4197530864197531,0.14583333333333334,0.0,0.19342359767891681,0.5541666666666667,0.2806451612903226,0.23076923076923078,0.2782236490101659,0.2857142857142857,,,,,,,,,2025,0.9,0.9,0.9,,0.9
Ollie Gordon II,Running Back,Oklahoma State,Big 12,0.8571428571428571,0.704225352112676,0.09024673911169477,,0.5,0.5,,,0.0,3,1,1,1,0,0,0,0.5203915171288743,0.3846153846153846,0.2809687665431445,0.3000000000000001,0.5348837209302325,0.35502958579881655,0.3724604966139955,0.12000000000000002,0.76,0.14285714285714285,0.5123839009287926,0.47738693467336685,0.6974358974358974,0.65625,0.7571435695407172,0.49382716049382713,0.22916666666666666,0.4,0.15087040618955513,0.30416666666666664,0.1935483870967742,0.07692307692307693,0.1658640984483681,0.25210084033613445,,,,,,,,,2025,0.9,0.9,0.9,,0.9
Devin Neal,Running Back,Kansas,Big 12,0.5714285714285714,0.5211267605633803,0.1534406107151498,,0.7307692307692307,0.6818181818181818,,,0.3333333333333333,4,1,1,1,1,0,0,0.4127243066884176,0.1923076923076923,0.3581259925886712,0.5437500000000001,0.622093023255814,0.4733727810650887,0.5566591422121896,0.38,0.48,0.14285714285714285,0.33746130030959753,0.48743718592964824,0.48717948717948717,0.5,0.5547299655911834,0.5185185185185185,0.4166666666666667,0.2,0.3578336557059961,0.4041666666666666,0.5741935483870968,0.34615384615384615,0.5842696629213483,0.29831932773109243,0.21428571428571427,0.3333333333333333,0.15503875968992248,0.23617021276595743,0.6254980079681275,0.4444444444444444,0.45595854922279794,0.1875,2025,0.9,0.9,0.9,0.9,0.9
Kalel Mullings,Running Back,Michigan,Big Ten,1.0,0.704225352112676,,,,,,,0.3333333333333333,4,1,1,1,1,0,0,0.0897226753670473,0.0,0.03930651138168342,0.24375000000000002,0.5232558139534884,0.35502958579881655,0.41309255079006774,0.23999999999999994,0.02,0.0,0.05108359133126935,0.8542713567839196,0.05897435897435897,0.03125,0.07988829601555877,0.5061728395061729,,,,,0.03870967741935484,0.11538461538461539,0.017121455323702513,0.13025210084033614,,,,,,,,,2025,1.0,1.0,1.0,1.0,1.0
Tahj Brooks,Running Back,Texas Tech,Big 12,0.2857142857142857,0.5352112676056338,0.3348577375580931,0.44,0.5384615384615384,0.5,0.6659069979562944,0.949286481663816,0.6666666666666666,4,0,1,1,1,1,0,0.46655791190864593,0.1923076923076923,0.25767601905770243,0.31250000000000006,0.8168604651162791,0.5029585798816567,0.6645598194130925,0.27999999999999997,0.56,0.0,0.10835913312693499,0.17085427135678394,0.7128205128205128,0.3125,0.673664788310976,0.3950617283950617,0.5625,0.2,0.33268858800773693,0.29583333333333334,0.47096774193548385,0.2692307692307692,0.37185660781166396,0.23949579831932774,0.17857142857142858,0.0,0.1421188630490956,0.24893617021276596,0.3426294820717131,0.3888888888888889,0.36593264248704666,0.4375,2025,0.9,0.9,0.9,0.9,0.9
Damien Martinez,Running Back,Miami,ACC,0.7142857142857143,0.5774647887323944,0.3736453370576261,,0.5384615384615384,0.6818181818181818,,,0.0,3,1,1,1,0,0,0,0.28711256117455136,0.0,0.28533615669666484,0.6312500000000001,0.4476744186046512,0.29585798816568043,0.43747178329571107,0.48,0.2,0.0,0.19659442724458204,0.628140703517588,0.4641025641025641,0.28125,0.5120929536727672,0.49382716049382713,0.0625,0.0,0.1218568665377176,0.6791666666666667,0.5129032258064516,0.2692307692307692,0.5264847512038523,0.29831932773109243,,,,,,,,,2025,0.9,0.9,0.9,,0.9
Brashard Smith,Running Back,SMU,ACC,0.42857142857142855,0.2535211267605634,0.924977123826812,,0.34615384615384615,0.36363636363636365,,,0.3333333333333333,4,1,1,1,1,0,0,0.6818923327895595,0.7692307692307692,0.4643991529910005,0.40625000000000006,0.6656976744186046,0.4142011834319526,0.5855530474040632,0.36000000000000004,0.42,0.2857142857142857,0.4086687306501548,0.6532663316582915,-0.010256410256410256,0.03125,0.039495337356006584,1.5555555555555556,0.6666666666666666,0.0,0.5996131528046421,0.4291666666666667,0.0032258064516129032,0.0,0.012841091492776886,0.34873949579831937,0.4642857142857143,0.6666666666666666,0.5219638242894057,0.3659574468085106,0.0199203187250996,0.0,0.012953367875647668,0.09999999999999998,2025,0.55,0.9,0.9,0.9,0.9
Kyle Monangai,Running Back,Rutgers,Big Ten,0.14285714285714285,0.49295774647887325,0.10967202195750056,,0.5,0.36363636363636365,,,0.6666666666666666,4,0,1,1,1,1,0,0.23327895595432296,0.1923076923076923,0.09753838009528851,0.21875000000000006,0.7296511627906976,0.3846153846153846,0.562528216704289,0.22000000000000003,0.14,0.0,0.12229102167182662,0.5427135678391961,0.5871794871794872,0.25,0.546651373859273,0.3827160493827161,0.10416666666666667,0.0,0.06382978723404255,0.25833333333333336,0.34516129032258064,0.07692307692307693,0.24665596575708934,0.2184873949579832,0.32142857142857145,0.0,0.1834625322997416,0.20851063829787236,0.24302788844621515,0.2222222222222222,0.15025906735751296,0.09999999999999998,2025,1.0,1.0,1.0,1.0,1.0
LeQuint Allen,Running Back,Syracuse,ACC,0.7142857142857143,0.39436619718309857,,,0.5384615384615384,0.5,,,0.0,3,1,1,1,0,0,0,1.130505709624796,0.7692307692307692,0.7584700899947061,0.4000000000000001,0.6482558139534884,0.4733727810650887,0.44604966139954855,0.12000000000000002,0.74,0.14285714285714285,0.326625386996904,0.32663316582914576,0.5923076923076923,0.28125,0.4573380541564854,0.28395061728395066,0.3333333333333333,0.2,0.23017408123791103,0.32916666666666666,0.12580645161290321,0.038461538461538464,0.1476725521669342,0.3235294117647059,,,,,,,,,2025,0.9,0.9,0.9,,0.9
Phil Mafah,Running Back,Clemson,ACC,0.8571428571428571,0.8169014084507042,,,,,,,0.3333333333333333,4,1,1,1,1,0,0,0.3588907014681892,0.0,0.13830068819481206,0.18750000000000006,0.6133720930232558,0.23668639053254434,0.4884875846501129,0.26000000000000006,0.4,0.0,0.16873065015479877,0.3065326633165829,0.4256410256410256,0.40625,0.4133546102827508,0.40740740740740744,0.16666666666666666,0.0,0.09671179883945841,0.2625,0.3096774193548387,0.15384615384615385,0.27661851257356873,0.2647058823529412,0.17857142857142858,0.0,0.10594315245478036,0.19787234042553192,0.26693227091633465,0.16666666666666666,0.1871761658031088,0.16249999999999998,2025,0.9,0.9,0.9,0.9,0.9
Jacory Croskey-Merritt,Running Back,Arizona,Big 12,0.5714285714285714,0.39436619718309857,,,,,,,1.0,2,0,0,0,0,1,1,0.10766721044045675,0.1923076923076923,0.09317098994176812,0.5250000000000001,0.5348837209302325,0.5029585798816567,0.5200902934537246,0.48,0.12,0.14285714285714285,0.1130030959752322,0.5678391959798996,0.4512820512820513,0.53125,0.5120929536727672,0.5185185185185185,,,,,,,,,,,,,,,,,2025,0.55,0.55,,,0.9
