name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Josh Cameron,Wide Receiver,Baylor,Big 12,0.5454545454545454,0.7831325301204819,,,,,,,4,0,0,0,0,0,0,,,,,0.402588066139468,0.3010033444816053,0.33389053808686625,0.33540372670807445,0.43119266055045874,0.5,0.40279394644935973,0.3832335329341317,,,,,0.18421052631578946,0.0,0.15013774104683195,0.4458333333333333,0.014492753623188406,0.0,0.007563025210084034,0.09770114942528736,0.3333333333333333,0.0,0.41145281018027574,0.29600000000000004,0.0,0.0,0.007710100231303007,0.046511627906976744,2026,0.9,0.9,0.9,0.9,0.9
Aaron Anderson,Wide Receiver,LSU,SEC,0.09090909090909091,0.43373493975903615,,,0.06451612903225806,0.1,,,3,0,0,0,0,0,0,0.0,0.0,0.00641025641025641,0.1625,0.14378145219266716,0.0,0.12897368648586333,0.3043478260869565,0.5137614678899083,0.25,0.4732246798603027,0.3712574850299401,,,,,0.10526315789473684,0.0,0.0371900826446281,0.20833333333333334,,,,,,,,,,,,,2026,1.0,1.0,1.0,,1.0
Colbie Young,Wide Receiver,Georgia,SEC,0.9090909090909091,0.7590361445783133,0.3782620936501043,,,,,,4,0,0,0,0,0,0,,,,,0.09345794392523366,0.033444816053511704,0.11168112516932299,0.40993788819875776,0.05504587155963303,0.1,0.05064027939464494,0.3233532934131736,,,,,0.41228070175438597,0.3333333333333333,0.38360881542699726,0.5,,,,,0.38271604938271603,0.5555555555555556,0.40084835630965004,0.256,,,,,2026,1.0,1.0,0.9,0.9,1.0
Caleb Douglas,Wide Receiver,Texas Tech,Big 12,0.7272727272727273,0.6144578313253012,0.7187568104925767,,0.16129032258064516,0.5333333333333333,,,4,0,0,0,0,0,0,,,,,0.28756290438533433,0.23411371237458192,0.31573334870449893,0.5279503105590062,0.5045871559633027,0.3,0.47613504074505236,0.39520958083832325,,,,,0.09649122807017543,0.06666666666666667,0.087465564738292,0.5041666666666667,,,,,0.1111111111111111,0.2222222222222222,0.18769883351007424,0.37,,,,,2026,0.9,0.9,1.0,1.0,0.9
Barion Brown,Wide Receiver,LSU,SEC,0.36363636363636365,0.26506024096385544,0.6886233114961202,,,,,,4,0,0,0,0,0,0,0.006802721088435374,0.0,0.021696252465483234,0.275,0.28756290438533433,0.033444816053511704,0.18690376689627344,0.17391304347826084,0.22018348623853212,0.15,0.1740395809080326,0.25748502994011974,0.0755813953488372,0.14285714285714285,0.056414922656960874,0.3472527472527473,0.37719298245614036,0.26666666666666666,0.36707988980716255,0.5208333333333334,0.08695652173913043,0.09090909090909091,0.13025210084033614,0.23333333333333334,0.6049382716049383,0.4444444444444444,0.6680805938494168,0.272,0.010869565217391304,0.0,0.005397070161912105,0.029069767441860465,2026,1.0,1.0,1.0,1.0,1.0
Zavion Thomas,Wide Receiver,LSU,SEC,0.2727272727272727,0.42168674698795183,0.9387557996268755,,0.45161290322580644,,,,4,0,0,0,0,0,0,0.061224489795918366,0.047619047619047616,0.054240631163708086,0.20249999999999999,0.201294033069734,0.13377926421404682,0.16788194944807908,0.2919254658385093,0.1651376146788991,0.1,0.09080325960419092,0.08383233532934133,0.05232558139534884,0.0,0.08007279344858963,0.4483516483516483,0.3508771929824561,0.06666666666666667,0.34228650137741046,0.525,0.08695652173913043,0.0,0.026050420168067228,0.11379310344827587,0.012345679012345678,0.0,0.006362672322375398,0.06,,,,,2026,1.0,1.0,1.0,1.0,1.0
Eric McAlister,Wide Receiver,TCU,Big 12,0.8181818181818182,0.46987951807228917,,,,,,,2,0,0,0,0,0,0,,,,,0.4241552839683681,0.33444816053511706,0.4713664005533619,0.577639751552795,0.3119266055045872,0.25,0.4074505238649593,0.6826347305389221,,,,,,,,,,,,,,,,,,,,,2026,0.9,0.9,,,0.9
Malik Benson,Wide Receiver,Oregon,Pac-12,0.45454545454545453,0.40963855421686746,0.7735226469419838,,0.22580645161290322,0.4,,,3,0,0,0,0,0,0,0.0,0.0,0.0034516765285996054,0.0875,0.21567217828900073,0.2006688963210702,0.2677464910510995,0.5900621118012421,0.1834862385321101,0.05,0.14493597206053552,0.25748502994011974,0.011627906976744186,0.0,0.012738853503184714,0.2857142857142857,0.11403508771929824,0.06666666666666667,0.10743801652892562,0.5208333333333334,,,,,,,,,,,,,2026,0.9,0.9,1.0,,0.9
Kendrick Law,Wide Receiver,Kentucky,SEC,0.36363636363636365,0.5783132530120482,0.5175238799271147,0.6521739130434783,0.8387096774193549,0.6,,,4,0,0,0,0,0,0,0.023809523809523808,0.0,0.03155818540433925,0.22000000000000003,0.28756290438533433,0.1003344481605351,0.1903622791595815,0.186335403726708,0.045871559633027525,0.05,0.025029103608847497,0.1437125748502994,0.046511627906976744,0.0,0.03821656050955414,0.3472527472527473,0.13157894736842105,0.0,0.08884297520661157,0.375,,,,,0.08641975308641975,0.0,0.11134676564156946,0.278,,,,,2026,1.0,1.0,1.0,1.0,1.0
Harrison Wallace III,Wide Receiver,Ole Miss,SEC,0.45454545454545453,0.4457831325301205,,,,,,,4,0,0,0,0,0,0,0.006802721088435374,0.0,0.005917159763313609,0.14125000000000001,0.34507548526240117,0.13377926421404682,0.3606940081275038,0.5031055900621119,0.3853211009174312,0.2,0.389988358556461,0.44910179640718556,,,,,0.16666666666666666,0.06666666666666667,0.15289256198347106,0.5,,,,,0.2222222222222222,0.1111111111111111,0.2916224814422057,0.308,,,,,2026,1.0,1.0,1.0,1.0,1.0
