name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Derwin James,Safety,Florida State,ACC,74.0,215.0,4.47,21.0,40.0,132.0,,,22.0,3,0,1,1,1,0,0,11.0,4.0,1.0,49.0,1.0,5.5,84.0,,,,0.0,1.0,0.0,0.0,20.5,2.0,1.0,41.0,,,,,,,,,2018,,,,0.0,0.0,0.0,9.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,
Terrell Edmunds,Safety,Virginia Tech,ACC,73.0,217.0,4.47,,41.5,134.0,,,21.0,3,1,1,1,0,0,0,4.0,1.0,1.5,30.0,0.0,2.5,60.0,,,,7.0,4.0,0.0,28.0,35.0,2.0,0.0,70.0,,,,,,,,,2018,1.0,0.0,1.0,3.0,1.0,0.0,45.0,0.0,2.5,89.0,,,,,,,,,,,,,,,,,,,,
Jessie Bates III,Safety,Wake Forest,ACC,73.0,200.0,,,,,,,21.0,2,0,1,1,0,0,0,6.0,0.0,0.0,50.0,1.0,6.0,79.0,1.0,0.0,0.0,31.6,5.0,2.0,158.0,37.0,1.0,0.0,37.0,,,,,,,,,2018,3.0,1.0,0.0,4.0,1.0,0.0,70.0,2.0,3.5,100.0,,,,,,,,,,,,,,,,,,,,
Justin Reid,Safety,Stanford,Pac-12,73.0,207.0,4.4,16.0,36.5,128.0,6.65,4.15,21.0,3,1,1,1,0,0,0,6.0,2.0,1.0,54.0,0.0,7.5,94.0,0.0,0.0,1.0,,,,,0.2,5.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,2018,,,,7.0,0.0,0.0,36.0,0.0,4.0,55.0,,,,,,,,,,,,,,,,,,,,
Tracy Walker,Safety,Louisiana,Sun Belt,73.0,206.0,,,,,,,23.0,4,0,1,1,1,1,0,6.0,0.0,0.5,62.0,0.0,3.5,97.0,,,,13.7,3.0,0.0,41.0,7.0,2.0,0.0,14.0,1.0,1.0,0.0,1.0,9.5,2.0,0.0,19.0,2018,,,,3.0,0.0,0.0,30.0,0.0,2.5,61.0,,,,,,,,,,,,,,,,,,,,
Ronnie Harrison,Safety,Alabama,SEC,74.0,207.0,,,34.0,120.0,,,21.0,3,1,1,1,0,0,0,4.0,0.0,2.5,43.0,0.0,4.5,74.0,,,,32.0,2.0,1.0,64.0,2.3,3.0,0.0,7.0,20.5,2.0,0.0,41.0,,,,,2018,0.0,0.0,2.0,7.0,2.0,0.0,56.0,1.0,1.5,83.0,,,,,,,,,,,,,,,,,,,,
Tarvarius Moore,Safety,Southern Miss,Conference USA,73.0,189.0,,,,,,,22.0,2,0,0,1,1,0,0,10.0,0.0,0.0,59.0,0.0,3.0,87.0,,,,0.0,2.0,0.0,0.0,18.0,3.0,0.0,54.0,,,,,,,,,2018,,,,2.0,0.0,0.0,11.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,
Troy Apke,Safety,Penn State,Big Ten,73.0,200.0,4.34,16.0,41.0,131.0,6.56,4.03,23.0,2,0,0,0,1,1,0,5.0,3.0,0.0,37.0,0.0,3.0,54.0,,,,10.0,1.0,0.0,10.0,1.0,1.0,0.0,1.0,,,,,,,,,2018,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,
Jordan Whitehead,Safety,Pittsburgh,ACC,70.0,198.0,,21.0,,,,,21.0,3,1,1,1,0,0,0,4.0,0.0,0.0,41.0,0.0,0.0,60.0,0.0,0.0,1.0,59.0,1.0,1.0,59.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,2018,0.0,0.0,1.0,2.0,0.0,0.0,46.0,1.0,1.5,65.0,,,,,,,,,,,,,,,,,,,,
Kyzir White,Safety,West Virginia,Big 12,74.0,218.0,,21.0,35.5,113.0,,,22.0,2,0,0,1,1,0,0,4.0,4.0,1.0,66.0,0.0,7.5,94.0,0.0,0.0,1.0,,,,,0.7,3.0,0.0,2.0,,,,,,,,,2018,0.0,0.0,1.0,5.0,1.0,3.0,48.0,0.0,7.0,58.0,,,,,,,,,,,,,,,,,,,,
Armani Watts,Safety,Texas A&M,SEC,71.0,202.0,,13.0,35.0,120.0,7.25,4.37,22.0,4,1,1,1,1,0,0,5.0,0.0,0.5,58.0,0.0,10.0,87.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.8,4.0,0.0,15.0,10.0,1.0,0.0,10.0,12.0,3.0,0.0,36.0,2018,0.0,0.0,1.0,3.0,1.0,1.0,36.0,0.0,6.0,56.0,,,,,,,,,,,,,,,,,,,,
Tre Flowers,Safety,Oklahoma State,Big 12,76.0,202.0,4.45,18.0,34.5,122.0,,,23.0,3,0,0,1,1,1,0,8.0,0.0,0.0,55.0,0.0,1.0,80.0,,,,,,,,7.0,2.0,0.0,14.0,1.5,2.0,0.0,3.0,,,,,2018,0.0,0.0,1.0,7.0,0.0,0.0,45.0,0.0,2.0,61.0,,,,,,,,,,,,,,,,,,,,
Marcus Allen,Safety,Penn State,Big Ten,74.0,215.0,,15.0,37.0,127.0,,4.32,22.0,2,0,0,1,1,0,0,2.0,1.0,1.0,45.0,0.0,4.0,71.0,,,,,,,,50.0,1.0,0.0,50.0,,,,,,,,,2018,0.0,0.0,1.0,3.0,0.0,0.0,57.0,0.0,6.0,110.0,,,,,,,,,,,,,,,,,,,,
Natrell Jamerson,Safety,Wisconsin,Big Ten,71.0,201.0,4.4,25.0,35.5,120.0,,,22.0,4,1,1,1,1,0,0,10.0,2.0,1.5,32.0,1.0,3.5,51.0,,,,,,,,20.0,2.0,1.0,40.0,,,,,,,,,2018,1.0,0.0,0.0,4.0,0.0,0.0,16.0,0.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,
Marcell Harris,Safety,Florida,SEC,73.0,216.0,,16.0,,,,,24.0,2,0,0,0,0,1,1,,,,,,,,,,,12.5,2.0,0.0,25.0,,,,,,,,,,,,,2018,0.0,0.0,1.0,1.0,1.0,1.0,43.0,0.0,4.0,73.0,,,,,,,,,,,,,,,,,,,,
DeShon Elliott,Safety,Texas,Big 12,73.0,210.0,,,,,,,21.0,3,1,1,1,0,0,0,9.0,0.0,1.5,50.0,2.0,8.5,63.0,0.0,0.0,1.0,24.0,1.0,0.0,24.0,21.2,6.0,2.0,127.0,2.5,2.0,0.0,5.0,,,,,2018,0.0,0.0,2.0,4.0,0.0,1.0,24.0,0.0,3.0,30.0,,,,,,,,,,,,,,,,,,,,
Darnell Savage Jr.,Safety,Maryland,Big Ten,71.0,198.0,,,,,,,22.0,3,0,1,1,1,0,0,2.0,0.0,0.0,38.0,1.0,5.5,52.0,,,,9.0,2.0,0.0,18.0,7.5,4.0,1.0,30.0,30.0,1.0,0.0,30.0,,,,,2019,0.0,0.0,1.0,8.0,0.0,0.0,45.0,2.0,0.0,59.0,4.0,0.0,1.0,45.0,0.0,3.5,59.0,,,,,,,,,,,,,
Johnathan Abram,Safety,Mississippi State,SEC,71.0,205.0,4.45,,,116.0,,,22.0,2,0,0,1,1,0,0,3.0,5.0,3.0,51.0,0.0,8.0,95.0,1.0,1.0,1.0,,,,,4.5,2.0,0.0,9.0,,,,,,,,,2019,,,,5.0,1.0,2.0,43.0,0.0,5.0,71.0,,,,,,,,,,,,,,,,,,,,
Marquise Blair,Safety,Utah,Pac-12,73.0,195.0,4.48,,35.0,125.0,,,22.0,2,0,0,1,1,0,0,2.0,1.0,0.0,38.0,0.0,1.5,50.0,,,,,,,,2.5,2.0,0.0,5.0,,,,,,,,,2019,0.0,0.0,1.0,2.0,0.0,0.0,35.0,0.0,3.0,47.0,,,,,,,,,,,,,,,,,,,,
Taylor Rapp,Safety,Washington,Pac-12,72.0,208.0,,17.0,35.0,115.0,6.82,3.99,21.0,3,1,1,1,0,0,0,4.0,0.0,5.0,29.0,0.0,6.0,55.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,14.5,4.0,1.0,58.0,,,,,2019,,,,0.0,0.0,2.0,42.0,0.0,3.5,59.0,2.0,0.0,0.0,29.0,1.0,0.0,51.0,,,,,,,,,,,,,
Juan Thornhill,Safety,Virginia,ACC,72.0,205.0,4.42,21.0,44.0,141.0,,,23.0,3,0,0,1,1,1,0,7.0,1.0,0.0,62.0,0.0,4.5,98.0,,,,1.0,4.0,0.0,4.0,23.5,6.0,0.0,141.0,10.7,3.0,0.0,32.0,,,,,2019,,,,12.0,0.0,0.5,47.0,0.0,4.5,63.0,7.0,0.0,1.0,30.0,0.0,3.0,45.0,,,,,,,,,,,,,
Will Harris,Safety,Boston College,ACC,73.0,207.0,4.41,20.0,36.5,123.0,6.91,4.12,23.0,4,0,1,1,1,1,0,0.0,1.0,0.0,42.0,0.0,1.0,73.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,2.0,0.0,64.0,1.0,1.0,0.0,1.0,2019,0.0,0.0,4.0,2.0,1.0,1.0,45.0,0.0,5.5,83.0,4.0,0.0,0.0,34.0,0.0,1.0,47.0,,,,,,,,,,,,,
Mike Edwards,Safety,Kentucky,SEC,71.0,205.0,,,,,,,23.0,4,0,1,1,1,1,0,6.0,1.0,0.0,56.0,1.0,9.0,82.0,0.0,0.0,1.0,0.3,4.0,0.0,1.0,39.5,2.0,1.0,79.0,15.3,3.0,0.0,46.0,20.0,1.0,1.0,20.0,2019,,,,7.0,1.0,1.0,53.0,0.0,4.0,96.0,8.0,0.0,0.5,56.0,0.0,5.5,100.0,,,,,,,,,,,,,
Chauncey Gardner-Johnson,Safety,Florida,SEC,71.0,210.0,4.48,17.0,36.0,117.0,7.03,4.2,21.0,3,1,1,1,0,0,0,2.0,2.0,3.0,37.0,2.0,9.0,71.0,,,,44.0,2.0,0.0,88.0,27.5,4.0,2.0,110.0,34.3,3.0,1.0,103.0,,,,,2019,,,,7.0,0.0,1.0,34.0,0.0,6.0,58.0,3.0,0.0,0.0,21.0,1.0,0.5,32.0,,,,,,,,,,,,,
Khari Willis,Safety,Michigan State,Big Ten,71.0,213.0,4.52,22.0,34.5,118.0,,,23.0,3,0,0,1,1,1,0,10.0,1.0,0.0,41.0,0.0,1.5,84.0,,,,10.0,2.0,0.0,20.0,15.0,2.0,0.0,30.0,,,,,,,,,2019,,,,3.0,0.0,4.0,39.0,0.0,5.5,71.0,2.0,0.0,0.0,16.0,0.0,0.0,30.0,,,,,,,,,,,,,
Amani Hooker,Safety,Iowa,Big Ten,71.0,210.0,4.48,14.0,37.0,123.0,6.81,4.1,21.0,3,0,1,1,0,0,0,7.0,0.0,1.0,36.0,0.0,3.5,65.0,,,,15.0,2.0,1.0,30.0,15.0,4.0,0.0,60.0,,,,,,,,,2019,,,,2.0,0.0,0.0,41.0,1.0,0.0,56.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,,,,,,,,,,,
Sheldrick Redwine,Safety,Miami,ACC,72.0,196.0,4.44,,39.0,130.0,,4.14,22.0,3,0,1,1,1,0,0,2.0,0.0,3.0,35.0,0.0,3.5,64.0,0.0,0.0,1.0,31.0,2.0,0.0,62.0,4.7,3.0,0.0,14.0,,,,,,,,,2019,,,,5.0,0.0,0.5,36.0,0.0,2.5,57.0,2.0,0.0,0.0,18.0,0.0,0.0,28.0,,,,,,,,,,,,,
Ugochukwu Amadi,Safety,Oregon,Pac-12,69.0,199.0,,,,,,,22.0,4,1,1,1,1,0,0,6.0,2.0,1.5,35.0,3.0,4.0,43.0,1.0,1.0,0.0,7.0,3.0,0.0,21.0,23.3,3.0,2.0,70.0,,,,,15.5,2.0,0.0,31.0,2019,0.0,0.0,2.0,8.0,0.0,1.5,31.0,0.0,2.5,43.0,6.0,0.0,0.0,31.0,0.0,0.0,42.0,,,,,,,,,,,,,
Deionte Thompson,Safety,Alabama,SEC,73.0,195.0,,,,,,,22.0,3,0,0,1,1,0,0,3.0,0.0,0.0,44.0,0.0,2.0,73.0,0.0,0.0,1.0,21.0,1.0,0.0,21.0,32.5,2.0,0.0,65.0,,,,,,,,,2019,,,,1.0,0.0,0.0,18.0,0.0,1.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,,,,,,,,,,,,,
Marvell Tell III,Safety,USC,Pac-12,74.0,198.0,,,,,,,23.0,3,0,0,1,1,1,0,4.0,0.0,0.0,29.0,0.0,1.0,41.0,,,,21.3,3.0,1.0,64.0,-4.0,1.0,0.0,-4.0,0.0,1.0,0.0,0.0,,,,,2019,0.0,0.0,1.0,2.0,2.0,0.5,42.0,1.0,2.5,85.0,2.0,0.0,0.0,27.0,0.0,2.0,43.0,,,,,,,,,,,,,
Saquan Hampton,Safety,Rutgers,Big Ten,73.0,206.0,4.48,14.0,,125.0,,,23.0,4,0,1,1,1,1,0,11.0,0.0,0.0,41.0,0.0,3.0,62.0,,,,,,,,1.0,3.0,0.0,3.0,30.0,1.0,0.0,30.0,0.0,1.0,0.0,0.0,2019,,,,3.0,0.0,0.0,22.0,0.0,0.0,34.0,1.0,0.0,0.0,30.0,0.0,3.0,46.0,,,,,,,,,,,,,
Jaquan Johnson,Safety,Miami,ACC,70.0,191.0,4.69,18.0,33.0,121.0,,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,39.0,0.0,0.5,85.0,,,,14.3,4.0,1.0,57.0,4.5,2.0,0.0,9.0,11.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,2019,0.0,0.0,2.0,3.0,1.0,1.0,50.0,1.0,2.0,88.0,2.0,1.0,1.5,24.0,0.0,3.0,38.0,0.0,0.0,1.0,,,,,,,,,,
