name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC
Keke Coutee,Wide Receiver,Texas Tech,Big 12,70.0,181.0,4.43,14.0,34.5,113.0,6.93,4.15,21.0,3,1,1,1,0,0,0,Texas Tech,,,,Texas Tech,14.0,14.0,1.0,0.0,14.0,77.0,93.0,10.0,1429.0,15.4,5.0,11.0,0.0,15.0,3.0,80.0,55.0,7.0,890.0,16.2,3.0,6.0,1.0,2.0,0.7,Texas Tech,,,,,,23.0,11.0,0.0,105.0,9.5,,,,,,31.5,92.0,10.0,1.0,315.0,,,,,,,,,,,,,,,,,16.2,24.0,6.0,0.0,97.0,,,,,,,,,,,,,,,,1.0,0.0,0.0
Antonio Callaway,Wide Receiver,Florida,SEC,71.0,200.0,4.41,,34.0,121.0,,,21.0,3,1,1,1,0,0,0,,,,,Florida,8.4,39.0,26.0,0.0,218.0,,,,,,,,,,,78.0,54.0,3.0,721.0,13.4,5.0,24.0,1.0,32.0,6.4,Florida,26.3,37.0,3.0,0.0,79.0,66.0,35.0,4.0,678.0,19.4,3.0,9.0,0.0,19.0,6.3,,,,,,,,,,,,,,,,,,,,,,32.3,44.0,3.0,1.0,97.0,14.5,85.0,30.0,2.0,435.0,,,,,,,,,,,5.0,1.0,0.0
DaeSean Hamilton,Wide Receiver,Penn State,Big Ten,73.0,203.0,,,,,,,23.0,4,0,1,1,1,1,0,Penn State,,,,Penn State,,,,,,48.0,53.0,9.0,857.0,16.2,1.0,2.0,0.0,2.0,2.0,54.0,34.0,1.0,506.0,14.9,1.0,0.0,0.0,-12.0,-12.0,Penn State,,,,,,48.0,45.0,6.0,580.0,12.9,,,,,,,,,,,Penn State,51.0,82.0,2.0,899.0,11.0,8.0,11.0,0.0,32.0,4.0,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
Jaleel Scott,Wide Receiver,New Mexico State,Sun Belt,77.0,218.0,4.56,16.0,34.5,124.0,7.2,4.4,23.0,2,0,0,0,1,1,0,New Mexico State,1.0,1.0,0.0,New Mexico State,,,,,,41.0,76.0,9.0,1079.0,14.2,,,,,,45.0,23.0,5.0,283.0,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J'Mon Moore,Wide Receiver,Missouri,SEC,75.0,207.0,,,,,,,23.0,4,0,1,1,1,1,0,Missouri,,,,Missouri,,,,,,71.0,65.0,10.0,1082.0,16.6,,,,,,82.0,62.0,8.0,1012.0,16.3,0.0,0.0,1.0,0.0,0.0,Missouri,,,,,,32.0,29.0,3.0,350.0,12.1,,,,,,,,,,,Missouri,17.0,2.0,0.0,33.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0
Jordan Lasley,Wide Receiver,UCLA,Pac-12,73.0,203.0,4.5,8.0,34.5,112.0,,4.19,21.0,3,1,1,1,0,0,0,UCLA,,,,UCLA,23.0,23.0,1.0,1.0,23.0,59.0,69.0,9.0,1264.0,18.3,4.0,5.0,0.0,-6.0,-1.5,75.0,41.0,5.0,620.0,15.1,,,,,,UCLA,,,,,,7.0,3.0,0.0,17.0,5.7,,,,,,19.3,25.0,3.0,0.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0
Marquez Valdes-Scantling,Wide Receiver,South Florida,American Athletic,76.0,206.0,4.37,15.0,30.5,124.0,,,23.0,4,0,1,1,1,1,0,South Florida,,,,South Florida,,,,,,95.0,53.0,6.0,879.0,16.6,8.0,75.0,1.0,108.0,13.5,77.0,22.0,5.0,415.0,18.9,2.0,4.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,19.5,27.0,2.0,0.0,39.0,NC State,42.0,22.0,1.0,257.0,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damion Ratley,Wide Receiver,Texas A&M,SEC,74.0,193.0,,,,,,,23.0,3,0,0,1,1,1,0,Texas A&M,,,,Texas A&M,,,,,,76.0,30.0,6.0,694.0,23.1,,,,,,20.0,2.0,0.0,26.0,13.0,,,,,,Texas A&M,,,,,,42.0,15.0,2.0,200.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deon Cain,Wide Receiver,Clemson,ACC,74.0,202.0,4.43,11.0,33.5,115.0,6.71,4.37,22.0,3,0,1,1,1,0,0,Clemson,,,,Clemson,,,,,,61.0,58.0,6.0,734.0,12.7,,,,,,65.0,38.0,9.0,724.0,19.1,,,,,,Clemson,,,,,,67.0,34.0,5.0,582.0,17.1,1.0,0.0,0.0,-5.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud,Wide Receiver,Clemson,ACC,70.0,190.0,,,,,,,21.0,3,1,1,1,0,0,0,Clemson,5.0,2.0,0.0,Clemson,6.8,74.0,26.0,0.0,176.0,79.0,49.0,1.0,503.0,10.3,6.0,11.0,0.0,30.0,5.0,36.0,49.0,2.0,472.0,9.6,5.0,17.0,0.0,28.0,5.6,Clemson,31.9,73.0,7.0,0.0,223.0,36.0,29.0,1.0,251.0,8.7,7.0,15.0,0.0,48.0,6.9,12.0,12.0,1.0,0.0,12.0,,,,,,,,,,,,12.1,77.0,25.0,1.0,303.0,-3.0,0.0,1.0,0.0,-3.0,1.5,10.0,4.0,0.0,6.0,,,,,,,,,,,6.0,3.0,0.0
