name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y2_college,Y3_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Rashad Weaver,Defensive End,Pittsburgh,ACC,76.0,259.0,4.88,20.0,32.0,114.0,6.97,4.26,23.0,4,0,1,1,1,1,0,Pittsburgh,2.0,12.0,7.5,22.0,0.0,14.0,34.0,0.0,0.0,2.0,,Pittsburgh,Pittsburgh,,,,,,,,,,,3.0,6.0,5.5,28.0,0.0,13.0,44.0,0.0,0.0,2.0,,,,3.0,6.0,3.0,17.0,0.0,6.0,28.0
Joshua Kaindoh,Defensive End,Florida State,ACC,78.0,260.0,,,,,,,22.0,4,1,1,1,1,0,0,Florida State,1.0,0.0,0.0,7.0,1.0,3.0,14.0,,,,Florida State,Florida State,Florida State,,,,0.0,1.0,1.0,5.0,0.0,2.5,9.0,1.0,4.0,3.5,14.0,0.0,5.0,20.0,,,,,,,0.0,6.0,4.0,11.0,0.0,6.5,17.0
Daelin Hayes,Defensive End,Notre Dame,FBS Independents,76.0,253.0,4.71,26.0,32.5,119.0,7.17,4.29,23.0,4,0,1,1,1,1,0,Notre Dame,1.0,2.0,3.0,9.0,0.0,5.0,14.0,0.0,0.0,1.0,Notre Dame,Notre Dame,Notre Dame,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,6.0,1.0,5.0,2.5,15.0,0.0,5.5,28.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,16.0,0.0,6.5,29.0
Earnest Brown IV,Defensive End,Northwestern,Big Ten,77.0,270.0,,,,,,,22.0,4,1,1,1,1,0,0,Northwestern,4.0,3.0,1.0,23.0,0.0,8.5,32.0,0.0,0.0,1.0,Northwestern,Northwestern,Northwestern,0.0,0.0,1.0,2.0,0.0,2.0,9.0,0.0,2.5,16.0,3.0,4.0,4.0,13.0,1.0,7.5,22.0,0.0,0.0,1.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Adetokunbo Ogundeji,Defensive End,Notre Dame,FBS Independents,77.0,260.0,4.75,22.0,32.0,120.0,7.17,4.64,22.0,3,0,1,1,1,0,0,Notre Dame,0.0,6.0,7.0,15.0,0.0,7.0,23.0,0.0,0.0,1.0,Notre Dame,Notre Dame,,0.0,0.0,1.0,0.0,5.0,4.5,17.0,1.0,7.0,34.0,1.0,2.0,1.5,12.0,0.0,3.0,23.0,,,,,,,,,,,,,
Tarron Jackson,Defensive End,Coastal Carolina,Sun Belt,74.0,254.0,4.68,25.0,29.0,118.0,7.45,4.51,23.0,4,0,1,1,1,1,0,Coastal Carolina,0.0,14.0,8.5,25.0,0.0,14.0,54.0,0.0,0.0,1.0,Coastal Carolina,Coastal Carolina,Coastal Carolina,,,,2.0,2.0,9.5,27.0,0.0,12.5,57.0,1.0,5.0,3.0,28.0,0.0,11.0,58.0,,,,,,,0.0,1.0,3.5,11.0,0.0,4.5,20.0
Victor Dimukeje,Defensive End,Duke,ACC,74.0,262.0,4.87,28.0,34.5,115.0,7.25,4.35,21.0,4,1,1,1,0,0,0,Duke,1.0,2.0,7.5,22.0,0.0,8.0,39.0,0.0,0.0,1.0,Duke,Duke,Duke,,,,1.0,10.0,8.5,18.0,0.0,9.5,41.0,0.0,9.0,3.5,21.0,0.0,8.0,41.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,19.0,0.0,7.5,40.0
Wyatt Hubert,Defensive End,Kansas State,Big 12,75.0,258.0,4.93,,32.5,110.0,7.03,4.28,23.0,3,0,0,1,1,1,0,Kansas State,1.0,5.0,8.5,19.0,0.0,13.0,27.0,,,,Kansas State,Kansas State,,,,,0.0,7.0,7.0,26.0,0.0,12.5,33.0,1.0,5.0,4.5,27.0,0.0,8.5,34.0,,,,,,,,,,,,,
Jonathon Cooper,Defensive End,Ohio State,Big Ten,75.0,253.0,4.69,28.0,33.0,108.0,6.99,4.31,23.0,4,0,1,1,1,1,0,Ohio State,1.0,2.0,3.5,12.0,0.0,3.5,24.0,,,,Ohio State,Ohio State,Ohio State,,,,1.0,0.0,1.0,6.0,0.0,1.0,6.0,0.0,2.0,2.5,14.0,0.0,6.0,23.0,,,,,,,0.0,1.0,2.0,11.0,0.0,3.0,15.0
Shaka Toney,Defensive End,Penn State,Big Ten,75.0,242.0,4.51,24.0,39.0,128.0,6.95,4.28,23.0,4,0,1,1,1,1,0,Penn State,1.0,2.0,5.0,21.0,0.0,7.5,31.0,,,,Penn State,Penn State,Penn State,0.0,0.0,1.0,1.0,5.0,6.5,13.0,0.0,8.0,40.0,2.0,3.0,5.0,15.0,0.0,7.0,23.0,,,,,,,0.0,0.0,4.0,8.0,0.0,6.5,18.0
Marquiss Spencer,Defensive End,Mississippi State,SEC,76.0,301.0,,,,,,,24.0,4,0,0,1,1,1,1,Mississippi State,0.0,1.0,3.0,17.0,0.0,8.5,34.0,,,,Mississippi State,Mississippi State,Mississippi State,,,,1.0,2.0,2.0,22.0,0.0,6.5,37.0,0.0,1.0,0.0,1.0,0.0,0.5,3.0,,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,0.0,4.5,19.0
