name,position,draft_year,college,games,w_av,av_per_game,pct_of_top,success_score
DJ Chark,WR,2018,LSU,76.0,21.0,0.27631578947368424,0.0,0.27078360167259835
Dede Westbrook,WR,2017,Oklahoma,55.0,14.0,0.2545454545454545,0.0414,0.2545961989384315
Calvin Austin III,WR,2022,Memphis,48.0,12.0,0.25,0.0373,0.2453730030824514
Tre'Quan Smith,WR,2018,Central Florida,67.0,15.0,0.22388059701492538,0.1101,0.23744982076170412
KJ Hamler,WR,2020,Penn St.,23.0,5.0,0.21739130434782608,0.12,0.23184081506904494
Jalen Nailor,WR,2022,Michigan St.,55.0,9.0,0.16363636363636364,0.2901,0.22502103179683602
Travis Fulgham,WR,2019,Old Dominion,17.0,4.0,0.23529411764705882,0.0347,0.22151307015104282
Jahan Dotson,WR,2022,Penn St.,63.0,12.0,0.19047619047619047,0.1863,0.2201727475402355
Quintez Cephus,WR,2020,Wisconsin,22.0,5.0,0.22727272727272727,0.0352,0.20992462648357466
Elijah Moore,WR,2021,Mississippi,70.0,15.0,0.21428571428571427,0.0714,0.20632711692553557
Josh Reynolds,WR,2017,Texas A&M,121.0,26.0,0.21487603305785125,0.0642,0.2041928547358992
Anthony Miller,WR,2018,Memphis,52.0,12.0,0.23076923076923078,0.0092,0.20413472683752057
Kyle Philips,WR,2022,UCLA,13.0,3.0,0.23076923076923078,0.0075,0.20343502506230549
K.J. Osborn,WR,2020,Miami (FL),67.0,13.0,0.19402985074626866,0.1333,0.20301829607920172
Zay Jones,WR,2017,East Carolina,123.0,25.0,0.2032520325203252,0.0917,0.19903186946747994
Parris Campbell,WR,2019,Ohio St.,50.0,9.0,0.18,0.1567,0.1929014806180013
KeeSean Johnson,WR,2019,Fresno St.,18.0,4.0,0.2222222222222222,0.0061,0.19097364646795306
Noah Brown,WR,2017,Ohio St.,91.0,19.0,0.2087912087912088,0.0414,0.1866313111353053
Tutu Atwell,WR,2021,Louisville,64.0,14.0,0.21875,0.0,0.1839051392767665
Van Jefferson,WR,2020,Florida,94.0,19.0,0.20212765957446807,0.0431,0.17844103405803008
Keke Coutee,WR,2018,Texas Tech,33.0,7.0,0.21212121212121213,0.0061,0.1774926518837883
Antonio Callaway,WR,2018,Florida,25.0,5.0,0.2,0.038,0.1737602404511106
Treylon Burks,WR,2022,Arkansas,35.0,7.0,0.2,0.0314,0.17130849711513368
Richie James,WR,2018,Middle Tenn. St.,66.0,13.0,0.19696969696969696,0.0391,0.17028960367003565
John Ross,WR,2017,Washington,38.0,7.0,0.18421052631578946,0.0826,0.17009025258375549
Laviska Shenault Jr.,WR,2020,Colorado,63.0,13.0,0.20634920634920634,0.0,0.1678224166495952
David Moore,WR,2017,East Central (OK),78.0,15.0,0.19230769230769232,0.0358,0.16323401620318903
Kadarius Toney,WR,2021,Florida,35.0,7.0,0.2,0.0,0.1599325264603016
James Washington,WR,2018,Oklahoma St.,62.0,11.0,0.1774193548387097,0.0436,0.14802404137232067
Kelvin Harmon,WR,2019,North Carolina St.,16.0,3.0,0.1875,0.0061,0.14710939271213028
Braxton Berrios,WR,2018,Miami (FL),91.0,11.0,0.12087912087912088,0.2202,0.14181310266931893
Taywan Taylor,WR,2017,Western Kentucky,35.0,6.0,0.17142857142857143,0.0375,0.13911284097994772
Mack Hollins,WR,2017,North Carolina,127.0,21.0,0.16535433070866143,0.0414,0.1335997805243896
Dante Pettis,WR,2018,Washington,66.0,11.0,0.16666666666666666,0.0338,0.13262149770340856
Shi Smith,WR,2021,South Carolina,23.0,4.0,0.17391304347826086,0.0072,0.13211725247840747
Devin Duvernay,WR,2020,Texas,89.0,12.0,0.1348314606741573,0.1417,0.13199073755969623
Jalen Tolbert,WR,2022,South Alabama,55.0,9.0,0.16363636363636364,0.0348,0.12963277258146003
Bryan Edwards,WR,2020,South Carolina,35.0,6.0,0.17142857142857143,0.0076,0.12953753592903325
Isaiah McKenzie,WR,2017,Georgia,93.0,15.0,0.16129032258064516,0.0353,0.12725998444074554
Denzel Mims,WR,2020,Baylor,30.0,5.0,0.16666666666666666,0.0097,0.12508249720506434
Tyquan Thornton,WR,2022,Baylor,42.0,7.0,0.16666666666666666,0.0075,0.12440652872157788
Jalen Reagor,WR,2020,TCU,64.0,10.0,0.15625,0.0337,0.12143337350729523
Isaiah Ford,WR,2017,Virginia Tech,32.0,5.0,0.15625,0.0309,0.12058729732592777
Isaiah Hodgins,WR,2020,Oregon St.,38.0,6.0,0.15789473684210525,0.0061,0.11489450427570384
Olabisi Johnson,WR,2019,Colorado St.,32.0,5.0,0.15625,0.0,0.1114616317792344
Auden Tate,WR,2018,Florida St.,35.0,5.0,0.14285714285714285,0.0411,0.10998390855403666
N'Keal Harry,WR,2019,Arizona St.,49.0,7.0,0.14285714285714285,0.036,0.10852459290610775
Chad Hansen,WR,2017,California,20.0,3.0,0.15,0.0076,0.10745948785617591
Tyler Johnson,WR,2020,Minnesota,61.0,9.0,0.14754098360655737,0.0076,0.10506539986728472
Freddie Swain,WR,2020,Florida,37.0,5.0,0.13513513513513514,0.035,0.10078578329939583
Ray-Ray McCloud,WR,2018,Clemson,100.0,14.0,0.14,0.0076,0.0978937315027087
DaeSean Hamilton,WR,2018,Penn St.,46.0,6.0,0.13043478260869565,0.0391,0.09748368268036603
Damion Ratley,WR,2018,Texas A&M,31.0,4.0,0.12903225806451613,0.038,0.0958853597476477
Bo Melton,WR,2022,Rutgers,38.0,5.0,0.13157894736842105,0.0278,0.09550804791745794
