name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Troy Fumagalli,Tight End,Wisconsin,Big Ten,77.0,247.0,,14.0,,,,,23.0,4,0,1,1,1,1,0,,,,44.0,46.0,4.0,547.0,11.9,,,,,,30.0,47.0,2.0,580.0,12.3,,,,,,31.0,28.0,1.0,313.0,11.2,,,,,,28.0,14.0,0.0,187.0,13.4,,,,,,2018,,,,,,,,,
Tyler Conklin,Tight End,Central Michigan,Mid-American,75.0,254.0,4.8,18.0,38.0,120.0,7.13,4.23,23.0,3,0,0,1,1,1,0,1.0,1.0,0.0,42.0,35.0,5.0,504.0,14.4,,,,,,35.0,42.0,6.0,560.0,13.3,,,,,,25.0,6.0,0.0,95.0,15.8,,,,,,,,,,,,,,,,2018,,,,,,,,,
Jordan Thomas,Tight End,Mississippi State,SEC,78.0,265.0,4.64,4.0,38.0,124.0,6.28,3.94,22.0,2,0,0,1,1,0,0,1.0,1.0,0.0,29.0,22.0,3.0,263.0,12.0,,,,,,13.0,9.0,1.0,48.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Ryan Izzo,Tight End,Florida State,ACC,77.0,256.0,4.94,18.0,33.0,110.0,7.15,4.43,22.0,4,1,1,1,1,0,0,,,,60.0,20.0,3.0,317.0,15.9,,,,,,39.0,19.0,1.0,227.0,11.9,,,,,,37.0,14.0,2.0,210.0,15.0,,,,,,7.0,1.0,0.0,7.0,7.0,,,,,,2018,,,,,,,,,
T.J. Hockenson,Tight End,Iowa,Big Ten,77.0,251.0,4.7,17.0,37.5,123.0,7.02,4.18,22.0,2,0,0,1,1,0,0,1.0,0.0,0.0,54.0,49.0,6.0,750.0,15.3,1.0,4.0,1.0,4.0,4.0,24.0,24.0,3.0,320.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1.0,0.0,0.0,,,,,,
Noah Fant,Tight End,Iowa,Big Ten,76.0,249.0,4.5,20.0,39.5,127.0,6.81,4.22,21.0,3,1,1,1,0,0,0,,,,65.0,39.0,7.0,518.0,13.3,2.0,3.0,0.0,1.0,0.5,68.0,30.0,11.0,494.0,16.5,2.0,3.0,0.0,-1.0,-0.5,14.0,9.0,1.0,70.0,7.8,,,,,,,,,,,,,,,,2019,,,,,,,,,
Irv Smith Jr.,Tight End,Alabama,SEC,74.0,242.0,,,,,,,21.0,2,0,1,1,0,0,0,1.0,0.0,0.0,76.0,44.0,7.0,710.0,16.1,,,,,,34.0,14.0,3.0,128.0,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,
Drew Sample,Tight End,Washington,Pac-12,77.0,255.0,4.71,,33.5,115.0,7.15,4.31,23.0,4,0,1,1,1,1,0,,,,33.0,24.0,3.0,245.0,10.2,,,,,,31.0,7.0,0.0,84.0,12.0,,,,,,32.0,9.0,0.0,106.0,11.8,,,,,,23.0,5.0,2.0,45.0,9.0,,,,,,2019,,,,,,,,,
Josh Oliver,Tight End,San José State,Mountain West,77.0,249.0,4.63,22.0,34.0,117.0,7.21,4.47,22.0,4,1,1,1,1,0,0,,,,70.0,56.0,4.0,709.0,12.7,,,,,,21.0,35.0,1.0,296.0,8.5,,,,,,19.0,3.0,1.0,26.0,8.7,,,,,,24.0,4.0,1.0,36.0,9.0,1.0,7.0,0.0,7.0,7.0,2019,,,,,,,,,
Jace Sternberger,Tight End,Texas A&M,SEC,76.0,251.0,4.75,17.0,31.5,113.0,7.19,4.31,23.0,3,0,0,1,1,1,0,,,,53.0,48.0,10.0,832.0,17.3,1.0,4.0,0.0,4.0,4.0,,,,,,,,,,,5.0,1.0,0.0,5.0,5.0,,,,,,,,,,,,,,,,2019,,,,,,,,,
