name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Troy Pride Jr.,Cornerback,Notre Dame,FBS Independents,72.0,193.0,,,,,,,22.0,4,1,1,1,1,0,0,6.0,0.0,0.0,27.0,0.0,0.0,40.0,0.5,2.0,0.0,1.0,,,,,,,,,,,,,,,,39.0,1.0,0.0,39.0,,,,,,,,,,,,,,,,-5.0,1.0,0.0,-5.0,,,,,,-2.0,-2.0,1.0,0.0,-2.0,,,,,10.0,0.0,0.0,36.0,0.0,1.5,46.0,2.0,0.0,0.0,13.0,0.0,1.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0
Reggie Robinson II,Cornerback,Tulsa,American Athletic,73.0,205.0,4.44,22.0,36.0,132.0,7.09,4.18,23.0,4,0,1,1,1,1,0,13.0,0.0,0.0,26.0,0.0,1.0,38.0,,,,,,,,,,,,,,,,,,,,9.3,3.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,13.0,0.0,0.0,19.0,9.0,0.0,0.0,32.0,0.0,2.5,38.0,7.0,0.0,0.0,30.0,0.0,0.5,37.0
Josiah Scott,Cornerback,Michigan State,Big Ten,69.0,185.0,4.42,17.0,,,,,21.0,3,1,1,1,0,0,0,7.0,0.0,0.0,38.0,0.0,0.0,55.0,6.0,2.0,0.0,12.0,,,,,,,,,,,,,,,,11.3,3.0,0.0,34.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,7.0,0.0,0.0,5.0,0.0,1.0,10.0,10.0,0.0,0.0,21.0,0.0,1.0,30.0,,,,,,,
Amik Robertson,Cornerback,Louisiana Tech,Conference USA,68.0,187.0,,,,,,,22.0,3,0,1,1,1,0,0,16.0,1.0,1.0,44.0,3.0,8.0,60.0,6.8,4.0,0.0,27.0,,,,,,,,,,,30.0,30.0,1.0,1.0,30.0,19.4,5.0,2.0,97.0,-3.0,0.0,2.0,0.0,-6.0,,,,,,,,,,,28.2,5.0,1.0,141.0,,,,,,,,,,,,,,,11.0,3.0,1.0,38.0,0.0,7.5,54.0,6.0,0.0,2.0,51.0,1.0,7.5,62.0,,,,,,,
John Reid,Cornerback,Penn State,Big Ten,70.0,187.0,4.49,20.0,36.5,129.0,6.95,3.97,24.0,4,0,0,1,1,1,1,8.0,1.0,1.0,26.0,1.0,2.5,37.0,22.0,2.0,0.0,44.0,,,,,,,,,,,,,,,,30.5,2.0,1.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,7.5,59.0,22.0,0.0,166.0,14.0,1.0,0.0,14.0,8.0,2.0,0.0,17.0,0.0,1.0,24.0,,,,,,,,7.0,0.0,0.5,22.0,0.0,5.0,35.0
Bryce Hall,Cornerback,Virginia,ACC,73.0,202.0,,11.0,,,,,22.0,4,1,1,1,1,0,0,4.0,0.0,1.0,13.0,0.0,3.0,20.0,9.5,2.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,1.0,0.0,36.0,,,,,,,,,,,-2.0,2.0,0.0,-4.0,21.0,0.0,2.0,39.0,0.0,3.5,62.0,9.0,0.0,1.0,29.0,0.0,3.0,47.0,4.0,0.0,0.0,17.0,0.0,0.0,25.0
Kindle Vildor,Cornerback,Georgia Southern,Sun Belt,70.0,191.0,4.44,22.0,39.5,133.0,7.14,4.28,22.0,4,1,1,1,1,0,0,6.0,0.0,0.0,23.0,0.0,3.0,27.0,9.0,4.0,0.0,36.0,,,,,,,,,,,,,,,,-26.0,2.0,0.0,-52.0,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,31.0,0.0,4.5,42.0,7.0,0.0,1.0,15.0,0.0,1.5,20.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
Harrison Hand,Cornerback,Temple,American Athletic,71.0,197.0,4.52,14.0,41.0,133.0,7.15,4.27,21.0,3,1,1,1,0,0,0,5.0,0.0,0.0,43.0,0.0,4.0,59.0,,,,,,,,,,,,,,,,,,,,2.7,3.0,0.0,8.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,2.0,0.0,0.0,10.0,0.0,1.0,11.0,8.0,0.0,0.0,31.0,0.0,0.5,42.0,,,,,,,
Isaiah Rodgers,Cornerback,Massachusetts,FBS Independents,70.0,170.0,,,,,,,22.0,4,1,1,1,1,0,0,9.0,0.0,0.0,29.0,2.0,3.0,42.0,44.5,2.0,1.0,89.0,,,,,,20.9,28.0,10.0,0.0,209.0,24.4,87.0,53.0,0.0,1295.0,14.5,4.0,1.0,58.0,10.9,42.0,11.0,1.0,120.0,20.2,23.0,5.0,0.0,101.0,3.6,10.0,10.0,0.0,36.0,19.7,3.0,1.0,59.0,22.2,51.0,33.0,0.0,733.0,,,,,,18.0,2.0,0.0,36.0,4.0,0.0,0.0,41.0,1.0,3.0,56.0,14.0,0.0,0.0,35.0,1.0,3.0,50.0,7.0,0.0,0.0,21.0,0.0,0.5,40.0
Stantley Thomas-Oliver III,Cornerback,Florida International,Conference USA,72.0,192.0,,,,,,,22.0,4,1,1,1,1,0,0,8.0,0.0,2.0,42.0,0.0,4.0,54.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,23.0,1.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,1.0,0.0,-3.0,9.0,0.0,0.0,21.0,0.0,3.0,37.0,,,,,,,,,,,,,,
Chris Claybrooks,Cornerback,Memphis,American Athletic,69.0,177.0,,,,,,,23.0,2,0,0,0,1,1,0,2.0,2.0,0.5,33.0,1.0,0.5,42.0,37.0,1.0,1.0,37.0,,,,,,,,,,,30.7,94.0,11.0,1.0,338.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.0,0.0,0.0,8.0,,,,,,,,,,,,,,
Thakarius Keyes,Cornerback,Tulane,American Athletic,73.0,202.0,,,,,,,22.0,4,1,1,1,1,0,0,4.0,0.0,0.0,35.0,0.0,0.0,47.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,33.0,0.0,0.0,38.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,8.0
Dane Jackson,Cornerback,Pittsburgh,ACC,72.0,187.0,4.57,,35.0,122.0,7.07,4.27,23.0,4,0,1,1,1,1,0,12.0,1.0,0.5,30.0,0.0,3.0,43.0,,,,,,,,,,,,,,,,,,,,21.0,1.0,0.0,21.0,,,,,,,,,,,,,,,,13.0,2.0,0.0,26.0,,,,,,,,,,,20.0,1.0,1.0,20.0,13.0,1.0,0.0,33.0,1.0,4.0,41.0,9.0,1.0,1.0,36.0,0.0,2.0,40.0,4.0,0.0,0.0,9.0,1.0,0.0,18.0
Chris Williamson,Cornerback,Minnesota,Big Ten,72.0,205.0,,,,,,,23.0,4,0,1,1,1,1,0,3.0,1.0,2.5,36.0,1.0,4.0,56.0,,,,,,,,,,,,,,,,,,,,43.0,1.0,1.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,1.0,20.0,0.0,3.5,32.0,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0
