name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Kwity Paye,Defensive End,Michigan,Big Ten,75.0,261.0,4.52,36.0,35.3,118.0,,,22.0,4,1,1,1,1,0,0,0.0,2.0,2.0,11.0,0.0,4.0,13.0,,,,2021,0.0,0.0,1.0,0.0,3.0,6.5,26.0,0.0,12.5,50.0,1.0,2.0,2.0,21.0,0.0,5.5,27.0,,,,0.0,0.0,1.0,0.0,0.0,1.5,4.0,,,
Payton Turner,Defensive End,Houston,American Athletic,78.0,268.0,,23.0,35.5,,6.98,4.33,22.0,4,1,1,1,1,0,0,0.0,1.0,5.0,17.0,0.0,10.5,25.0,,,,2021,,,,4.0,5.0,4.0,20.0,0.0,8.0,34.0,4.0,4.0,0.0,21.0,0.0,4.5,42.0,,,,1.0,3.0,1.0,10.0,0.0,2.0,14.0,,,
Gregory Rousseau,Defensive End,Miami,ACC,79.0,266.0,4.68,21.0,30.0,115.0,,,21.0,3,0,1,1,0,0,0,,,,,,,,,,,2021,0.0,0.0,1.0,1.0,7.0,15.5,34.0,0.0,19.5,54.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,
Dayo Odeyingbo,Defensive End,Vanderbilt,SEC,77.0,285.0,,,,,,,21.0,4,1,1,1,0,0,0,1.0,9.0,5.5,15.0,0.0,8.0,32.0,,,,2021,,,,0.0,7.0,1.5,20.0,0.0,12.0,45.0,2.0,6.0,2.5,17.0,1.0,6.5,28.0,0.0,0.0,1.0,0.0,1.0,2.5,11.0,0.0,4.5,21.0,,,
Carlos Basham Jr.,Defensive End,Wake Forest,ACC,75.0,274.0,,,,,,,23.0,4,0,1,1,1,1,0,1.0,2.0,5.0,20.0,0.0,5.5,28.0,,,,2021,,,,3.0,13.0,11.0,26.0,0.0,18.0,57.0,1.0,5.0,4.5,36.0,1.0,11.0,64.0,0.0,0.0,2.0,3.0,3.0,0.0,15.0,0.0,2.0,24.0,0.0,0.0,1.0
Joseph Ossai,Defensive End,Texas,Big 12,76.0,256.0,4.63,19.0,41.5,131.0,,,21.0,3,1,1,1,0,0,0,2.0,2.0,5.5,25.0,0.0,15.5,55.0,0.0,0.0,2.0,2021,,,,1.0,9.0,5.0,61.0,0.0,13.5,90.0,0.0,0.0,1.0,13.0,0.0,1.0,20.0,,,,,,,,,,,,,
Chauncey Golston,Defensive End,Iowa,Big Ten,77.0,269.0,4.79,,36.0,119.0,7.52,4.65,23.0,4,0,1,1,1,1,0,1.0,3.0,5.5,24.0,0.0,8.5,45.0,,,,2021,,,,5.0,7.0,3.0,26.0,0.0,9.5,47.0,1.0,3.0,3.5,17.0,0.0,9.0,33.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,
Patrick Jones II,Defensive End,Pittsburgh,ACC,76.0,261.0,,,,,,,22.0,4,1,1,1,1,0,0,3.0,5.0,8.5,24.0,0.0,12.5,42.0,0.0,0.0,1.0,2021,,,,1.0,18.0,8.5,26.0,0.0,11.5,42.0,0.0,3.0,3.5,14.0,0.0,6.0,19.0,,,,0.0,0.0,0.5,3.0,0.0,1.0,7.0,,,
Ronnie Perkins,Defensive End,Oklahoma,Big 12,75.0,253.0,4.71,25.0,32.0,115.0,,4.69,21.0,3,1,1,1,0,0,0,0.0,8.0,5.5,16.0,0.0,10.5,23.0,,,,2021,,,,0.0,6.0,6.0,28.0,0.0,13.5,38.0,1.0,4.0,5.0,17.0,0.0,8.0,37.0,,,,,,,,,,,,,
Cameron Sample,Defensive End,Tulane,American Athletic,75.0,267.0,4.72,23.0,37.0,116.0,7.39,4.48,21.0,4,1,1,1,0,0,0,1.0,3.0,5.0,29.0,0.0,7.5,52.0,,,,2021,0.0,0.0,1.0,4.0,3.0,1.5,30.0,0.0,5.5,44.0,1.0,1.0,4.0,17.0,0.0,5.5,40.0,,,,1.0,1.0,0.0,15.0,0.0,2.0,26.0,,,
Jordan Smith,Defensive End,UAB,Conference USA,78.0,264.0,4.8,16.0,33.0,117.0,,,23.0,2,0,0,0,1,1,0,1.0,8.0,4.5,23.0,0.0,9.0,42.0,,,,2021,,,,1.0,8.0,10.0,34.0,0.0,17.0,52.0,,,,,,,,,,,,,,,,,,,,
Janarius Robinson,Defensive End,Florida State,ACC,77.0,263.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,5.0,3.0,12.0,0.0,7.0,26.0,,,,2021,0.0,0.0,2.0,1.0,3.0,3.0,24.0,0.0,9.0,48.0,1.0,3.0,1.0,18.0,0.0,3.0,27.0,,,,0.0,0.0,1.0,1.0,0.0,1.5,4.0,,,
Rashad Weaver,Defensive End,Pittsburgh,ACC,76.0,259.0,4.88,20.0,32.0,114.0,6.97,4.26,23.0,4,0,1,1,1,1,0,2.0,12.0,7.5,22.0,0.0,14.0,34.0,0.0,0.0,2.0,2021,,,,,,,,,,,3.0,6.0,5.5,28.0,0.0,13.0,44.0,0.0,0.0,2.0,3.0,6.0,3.0,17.0,0.0,6.0,28.0,,,
Joshua Kaindoh,Defensive End,Florida State,ACC,78.0,260.0,,,,,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,7.0,1.0,3.0,14.0,,,,2021,,,,0.0,1.0,1.0,5.0,0.0,2.5,9.0,1.0,4.0,3.5,14.0,0.0,5.0,20.0,,,,0.0,6.0,4.0,11.0,0.0,6.5,17.0,,,
Daelin Hayes,Defensive End,Notre Dame,FBS Independents,76.0,253.0,4.71,26.0,32.5,119.0,7.17,4.29,23.0,4,0,1,1,1,1,0,1.0,2.0,3.0,9.0,0.0,5.0,14.0,0.0,0.0,1.0,2021,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,6.0,1.0,5.0,2.5,15.0,0.0,5.5,28.0,0.0,0.0,1.0,1.0,3.0,3.0,16.0,0.0,6.5,29.0,0.0,0.0,2.0
Earnest Brown IV,Defensive End,Northwestern,Big Ten,77.0,270.0,,,,,,,22.0,4,1,1,1,1,0,0,4.0,3.0,1.0,23.0,0.0,8.5,32.0,0.0,0.0,1.0,2021,0.0,0.0,1.0,2.0,0.0,2.0,9.0,0.0,2.5,16.0,3.0,4.0,4.0,13.0,1.0,7.5,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,
Adetokunbo Ogundeji,Defensive End,Notre Dame,FBS Independents,77.0,260.0,4.75,22.0,32.0,120.0,7.17,4.64,22.0,3,0,1,1,1,0,0,0.0,6.0,7.0,15.0,0.0,7.0,23.0,0.0,0.0,1.0,2021,0.0,0.0,1.0,0.0,5.0,4.5,17.0,1.0,7.0,34.0,1.0,2.0,1.5,12.0,0.0,3.0,23.0,,,,,,,,,,,,,
Tarron Jackson,Defensive End,Coastal Carolina,Sun Belt,74.0,254.0,4.68,25.0,29.0,118.0,7.45,4.51,23.0,4,0,1,1,1,1,0,0.0,14.0,8.5,25.0,0.0,14.0,54.0,0.0,0.0,1.0,2021,,,,2.0,2.0,9.5,27.0,0.0,12.5,57.0,1.0,5.0,3.0,28.0,0.0,11.0,58.0,,,,0.0,1.0,3.5,11.0,0.0,4.5,20.0,,,
Victor Dimukeje,Defensive End,Duke,ACC,74.0,262.0,4.87,28.0,34.5,115.0,7.25,4.35,21.0,4,1,1,1,0,0,0,1.0,2.0,7.5,22.0,0.0,8.0,39.0,0.0,0.0,1.0,2021,,,,1.0,10.0,8.5,18.0,0.0,9.5,41.0,0.0,9.0,3.5,21.0,0.0,8.0,41.0,0.0,0.0,1.0,1.0,4.0,2.0,19.0,0.0,7.5,40.0,0.0,0.0,1.0
Wyatt Hubert,Defensive End,Kansas State,Big 12,75.0,258.0,4.93,,32.5,110.0,7.03,4.28,23.0,3,0,0,1,1,1,0,1.0,5.0,8.5,19.0,0.0,13.0,27.0,,,,2021,,,,0.0,7.0,7.0,26.0,0.0,12.5,33.0,1.0,5.0,4.5,27.0,0.0,8.5,34.0,,,,,,,,,,,,,
Jonathon Cooper,Defensive End,Ohio State,Big Ten,75.0,253.0,4.69,28.0,33.0,108.0,6.99,4.31,23.0,4,0,1,1,1,1,0,1.0,2.0,3.5,12.0,0.0,3.5,24.0,,,,2021,,,,1.0,0.0,1.0,6.0,0.0,1.0,6.0,0.0,2.0,2.5,14.0,0.0,6.0,23.0,,,,0.0,1.0,2.0,11.0,0.0,3.0,15.0,,,
Shaka Toney,Defensive End,Penn State,Big Ten,75.0,242.0,4.51,24.0,39.0,128.0,6.95,4.28,23.0,4,0,1,1,1,1,0,1.0,2.0,5.0,21.0,0.0,7.5,31.0,,,,2021,0.0,0.0,1.0,1.0,5.0,6.5,13.0,0.0,8.0,40.0,2.0,3.0,5.0,15.0,0.0,7.0,23.0,,,,0.0,0.0,4.0,8.0,0.0,6.5,18.0,,,
Marquiss Spencer,Defensive End,Mississippi State,SEC,76.0,301.0,,,,,,,24.0,4,0,0,1,1,1,1,0.0,1.0,3.0,17.0,0.0,8.5,34.0,,,,2021,,,,1.0,2.0,2.0,22.0,0.0,6.5,37.0,0.0,1.0,0.0,1.0,0.0,0.5,3.0,,,,2.0,0.0,1.0,5.0,0.0,4.5,19.0,0.0,0.0,2.0
Travon Walker,Defensive End,Georgia,SEC,77.0,272.0,4.51,,35.5,123.0,6.89,4.32,21.0,3,1,1,1,0,0,0,2.0,6.0,6.0,19.0,0.0,7.5,37.0,0.0,0.0,1.0,2022,,,,1.0,2.0,1.0,6.0,0.0,2.0,13.0,1.0,1.0,2.5,9.0,0.0,3.5,15.0,0.0,0.0,1.0,,,,,,,,,,
Aidan Hutchinson,Defensive End,Michigan,Big Ten,79.0,260.0,4.74,,36.0,117.0,6.73,4.15,22.0,4,1,1,1,1,0,0,3.0,12.0,14.0,36.0,0.0,16.5,62.0,0.0,0.0,1.0,2022,,,,1.0,0.0,0.0,5.0,0.0,0.0,6.0,6.0,4.0,4.5,34.0,0.0,10.0,68.0,,,,0.0,1.0,0.0,5.0,0.0,1.0,12.0,,,
Kayvon Thibodeaux,Defensive End,Oregon,Pac-12,76.0,254.0,4.58,27.0,,,,,21.0,3,1,1,1,0,0,0,1.0,8.0,7.0,35.0,0.0,12.0,49.0,,,,2022,,,,3.0,2.0,3.0,23.0,0.0,9.5,38.0,3.0,4.0,9.0,24.0,0.0,14.0,35.0,,,,,,,,,,,,,
Jermaine Johnson II,Defensive End,Florida State,ACC,77.0,254.0,4.58,,32.0,125.0,,,23.0,3,0,0,1,1,1,0,2.0,12.0,12.0,34.0,0.0,18.0,70.0,0.0,0.0,2.0,2022,,,,0.0,0.0,4.0,7.0,0.0,4.0,11.0,1.0,0.0,1.5,9.0,0.0,2.0,20.0,,,,,,,,,,,,,
George Karlaftis,Defensive End,Purdue,Big Ten,76.0,266.0,,21.0,38.0,121.0,,4.36,21.0,3,1,1,1,0,0,0,2.0,5.0,4.5,25.0,0.0,11.0,36.0,0.0,0.0,2.0,2022,,,,0.0,1.0,2.0,3.0,0.0,2.0,4.0,2.0,4.0,7.5,30.0,0.0,17.0,54.0,0.0,0.0,2.0,,,,,,,,,,
Logan Hall,Defensive End,Houston,American Athletic,78.0,283.0,4.88,,30.0,,7.25,4.44,22.0,4,1,1,1,1,0,0,0.0,3.0,6.0,24.0,0.0,13.0,47.0,,,,2022,,,,1.0,3.0,1.0,9.0,0.0,2.0,23.0,0.0,0.0,0.5,8.0,0.0,2.0,14.0,,,,0.0,1.0,0.0,9.0,0.0,3.0,14.0,,,
Arnold Ebiketie,Defensive End,Penn State,Big Ten,74.0,250.0,,21.0,38.0,128.0,,,23.0,4,0,1,1,1,1,0,0.0,7.0,9.5,34.0,0.0,18.0,62.0,,,,2022,0.0,0.0,2.0,0.0,0.0,4.0,28.0,1.0,8.5,42.0,0.0,2.0,2.0,10.0,0.0,2.0,13.0,,,,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,,
Josh Paschal,Defensive End,Kentucky,SEC,75.0,268.0,,,,,,,22.0,4,0,1,1,1,0,0,0.0,8.0,5.0,24.0,0.0,15.0,52.0,,,,2022,,,,0.0,1.0,1.0,16.0,0.0,6.5,32.0,1.0,0.0,3.5,20.0,0.0,9.5,34.0,,,,0.0,0.0,0.0,2.0,0.0,1.0,3.0,,,
Alex Wright,Defensive End,UAB,Conference USA,77.0,271.0,,15.0,,,,,22.0,3,0,1,1,1,0,0,3.0,9.0,6.0,23.0,0.0,7.5,45.0,,,,2022,,,,2.0,2.0,1.0,9.0,0.0,3.0,17.0,0.0,3.0,4.5,16.0,0.0,8.5,28.0,0.0,0.0,1.0,,,,,,,,,,
DeMarvin Leal,Defensive End,Texas A&M,SEC,76.0,283.0,5.0,,27.5,106.0,,4.49,22.0,3,0,1,1,1,0,0,2.0,2.0,8.5,27.0,0.0,12.5,58.0,,,,2022,0.0,0.0,2.0,3.0,8.0,2.5,18.0,0.0,7.0,37.0,0.0,5.0,2.0,14.0,0.0,5.5,38.0,,,,,,,,,,,,,
Cameron Thomas,Defensive End,San Diego State,Mountain West,76.0,267.0,,24.0,,,,,22.0,3,0,1,1,1,0,0,0.0,9.0,11.5,30.0,0.0,20.5,71.0,,,,2022,,,,1.0,5.0,3.5,21.0,0.0,9.0,34.0,1.0,2.0,5.5,20.0,0.0,9.0,49.0,,,,,,,,,,,,,
Myjai Sanders,Defensive End,Cincinnati,American Athletic,77.0,228.0,4.67,,33.0,120.0,,4.37,24.0,4,0,0,1,1,1,1,6.0,11.0,2.5,17.0,0.0,7.5,41.0,0.0,0.0,1.0,2022,,,,5.0,4.0,7.0,22.0,0.0,10.5,31.0,2.0,8.0,4.0,21.0,0.0,7.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,,,
Eyioma Uwazurike,Defensive End,Iowa State,Big 12,78.0,316.0,,,33.0,107.0,,,24.0,4,0,0,1,1,1,1,1.0,6.0,9.0,16.0,0.0,12.0,43.0,,,,2022,,,,1.0,3.0,3.0,16.0,0.0,8.0,27.0,1.0,4.0,1.5,19.0,1.0,5.5,32.0,0.0,0.0,2.0,0.0,1.0,1.0,12.0,0.0,5.0,27.0,,,
Micheal Clemons,Defensive End,Texas A&M,SEC,77.0,263.0,,24.0,,116.0,,,25.0,3,0,0,0,0,1,1,2.0,13.0,7.0,23.0,0.0,11.0,32.0,0.0,0.0,1.0,2022,,,,0.0,1.0,4.0,7.0,0.0,4.5,14.0,0.0,4.0,0.5,12.0,0.0,2.5,28.0,,,,,,,,,,,,,
Tyreke Smith,Defensive End,Ohio State,Big Ten,75.0,254.0,4.86,,34.0,117.0,,,22.0,4,1,1,1,1,0,0,2.0,5.0,3.0,12.0,0.0,5.0,26.0,,,,2022,,,,1.0,3.0,1.0,6.0,0.0,1.0,8.0,2.0,1.0,3.0,9.0,0.0,5.0,12.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,9.0,,,
Esezi Otomewo,Defensive End,Minnesota,Big Ten,77.0,282.0,,,,,,,23.0,4,0,1,1,1,1,0,0.0,4.0,3.0,24.0,0.0,4.5,30.0,,,,2022,,,,0.0,2.0,1.0,11.0,0.0,1.0,15.0,0.0,0.0,2.5,6.0,0.0,5.0,22.0,,,,0.0,0.0,0.0,7.0,0.0,1.0,12.0,0.0,0.0,1.0
Isaiah Thomas,Defensive End,Oklahoma,Big 12,77.0,266.0,4.7,,31.5,117.0,,,23.0,4,0,1,1,1,1,0,4.0,3.0,8.0,18.0,0.0,11.5,38.0,0.0,0.0,1.0,2022,0.0,0.0,2.0,2.0,8.0,7.5,19.0,0.0,12.0,31.0,0.0,2.0,2.0,5.0,0.0,2.0,7.0,,,,1.0,0.0,0.0,2.0,0.0,0.0,4.0,,,
Andre Anthony,Defensive End,LSU,SEC,76.0,251.0,,,,,,,25.0,4,0,0,0,1,1,1,0.0,0.0,3.5,3.0,0.0,4.0,8.0,0.0,0.0,2.0,2022,,,,1.0,4.0,5.5,13.0,0.0,5.5,24.0,1.0,0.0,1.0,4.0,0.0,1.0,9.0,,,,0.0,2.0,0.5,5.0,0.0,0.5,14.0,0.0,0.0,1.0
Jeffrey Gunter,Defensive End,Coastal Carolina,Sun Belt,76.0,258.0,4.7,,35.5,122.0,7.21,4.35,23.0,4,0,1,1,1,1,0,1.0,3.0,5.5,21.0,0.0,8.5,35.0,0.0,0.0,1.0,2022,,,,1.0,10.0,5.5,35.0,0.0,12.5,58.0,,,,,,,,,,,2.0,5.0,5.0,29.0,0.0,14.0,49.0,,,
