name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,conference_prestige
Mike Gesicki,Tight End,Penn State,Big Ten,0.6666666666666666,0.3611111111111111,0.8429366880129184,0.8181818181818182,1.0,0.8076923076923077,0.9253878915694345,0.9451343743552933,0.3333333333333333,4,1,1,1,1,0,0,0.611764705882353,0.5625,0.48285449490268767,0.20000000000000004,,,,,0.5977742448330684,0.3418803418803419,0.6058078927773642,0.6328502415458938,,,,,0.24,0.09090909090909091,0.17341040462427745,0.22115384615384612,,,,,0.29411764705882354,0.0,0.242152466367713,0.25882352941176473,,,,,2018,1.0
Mark Andrews,Tight End,Oklahoma,Big 12,0.5,0.6111111111111112,0.4493787946751754,0.5909090909090909,0.27586206896551724,0.19230769230769232,0.06838239551857454,0.5139744952650303,0.5,3,0,0,1,1,1,0,0.6705882352941176,0.5,0.8489341983317887,0.648,,,,,0.3815580286168522,0.47863247863247865,0.4360387192851825,0.7149758454106281,,,,,0.36,0.6363636363636364,0.4523121387283237,0.5625,,,,,,,,,,,,,2018,0.9
Jordan Akins,Tight End,UCF,American Athletic,0.16666666666666666,0.4166666666666667,,,,,,,1.0,4,0,0,0,0,1,1,0.3176470588235294,0.25,0.43836886005560705,0.6960000000000002,,,,,0.27980922098569155,0.13675213675213677,0.3091586001489204,0.6811594202898551,,,,,0.26,0.18181818181818182,0.21242774566473988,0.28365384615384615,,,,,0.3235294117647059,0.0,0.289237668161435,0.311764705882353,,,,,2018,0.55
Ian Thomas,Tight End,Indiana,Big Ten,0.3333333333333333,0.6944444444444444,0.24132805817290282,,0.6206896551724138,0.5769230769230769,0.3319353139264989,0.8757113383771358,0.3333333333333333,2,0,0,1,1,0,0,0.23529411764705882,0.3125,0.30954587581093607,0.6080000000000001,,,,,0.025437201907790145,0.0,0.02412509307520477,0.4009661835748793,,,,,,,,,,,,,,,,,,,,,2018,1.0
Chris Herndon,Tight End,Miami,ACC,0.3333333333333333,0.5277777777777778,,0.7727272727272727,,,,,0.3333333333333333,3,0,1,1,1,0,0,0.4117647058823529,0.25,0.4031510658016682,0.36000000000000004,,,,,0.34340222575516693,0.13675213675213677,0.29754281459419213,0.5265700483091788,,,,,0.34,0.09090909090909091,0.3352601156069364,0.39423076923076916,,,,,,,,,,,,,2018,0.9
Will Dissly,Tight End,Washington,Pac-12,0.3333333333333333,0.7777777777777778,0.04905417389756236,0.5,0.06896551724137931,0.11538461538461539,0.5605773670015829,0.44673530780189896,0.3333333333333333,2,0,0,1,1,0,0,0.17647058823529413,0.125,0.22150139017608897,0.536,,,,,0.03815580286168521,0.06837606837606838,0.04110201042442294,0.5217391304347827,,,,,,,,,,,,,,,,,,,,,2018,0.9
Durham Smythe,Tight End,Notre Dame,FBS Independents,0.5,0.5277777777777778,0.1145530492378843,0.6363636363636364,0.27586206896551724,0.07692307692307693,0.2836936562385738,0.8437463827098463,0.5,4,0,1,1,1,1,0,0.11764705882352941,0.0625,0.1872103799814643,0.7120000000000001,,,,,0.10174880763116058,0.27350427350427353,0.09918093819806405,0.5507246376811594,,,,,0.04,0.09090909090909091,0.01878612716763006,0.04807692307692307,,,,,0.0,0.0,0.002242152466367713,0.058823529411764705,,,,,2018,0.9
Dalton Schultz,Tight End,Stanford,Pac-12,0.5,0.2777777777777778,0.21865374675630145,0.5,0.3448275862068966,0.46153846153846156,0.7235810923621648,0.44673530780189896,0.3333333333333333,3,0,1,1,1,0,0,0.2,0.1875,0.15755329008341057,0.17599999999999996,,,,,0.27980922098569155,0.06837606837606838,0.19746835443037977,0.42028985507246375,,,,,0.18,0.09090909090909091,0.1676300578034682,0.3413461538461538,,,,,,,,,,,,,2018,0.9
Troy Fumagalli,Tight End,Wisconsin,Big Ten,0.5,0.3611111111111111,,0.45454545454545453,,,,,0.5,4,0,1,1,1,1,0,0.4823529411764706,0.25,0.4680259499536608,0.36000000000000004,,,,,0.5850556438791733,0.13675213675213677,0.5173492181682801,0.5458937198067634,,,,,0.54,0.09090909090909091,0.44508670520231214,0.298076923076923,,,,,0.38235294117647056,0.0,0.40582959641255606,0.43529411764705883,,,,,2018,1.0
Tyler Conklin,Tight End,Central Michigan,Mid-American,0.16666666666666666,0.5555555555555556,0.12865144428341696,0.6363636363636364,0.7586206896551724,0.46153846153846156,0.3857364635646711,0.8437463827098463,0.5,3,0,0,1,1,1,0,0.35294117647058826,0.3125,0.4281742354031511,0.56,,,,,0.5214626391096979,0.41025641025641024,0.49947877885331354,0.5942028985507247,,,,,0.1,0.0,0.13005780346820808,0.5192307692307693,,,,,,,,,,,,,2018,0.35
