name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_college,Y3_college,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS
Barion Brown,Wide Receiver,LSU,SEC,71.0,177,4.4,,,,,,4,0,0,0,0,0,0,LSU,,,,3.0,15.0,0.0,33.0,11.0,41.0,53.0,1.0,532.0,10.0,6.0,6.0,1.0,0.0,6.0,29.7,99.0,15.0,1.0,445.0,Kentucky,2.0,0.0,0.0,63.0,29.0,3.0,361.0,12.4,13.0,23.0,1.0,50.0,3.8,23.6,99.0,19.0,1.0,449.0,6.0,6.0,1.0,0.0,6.0,35.1,100.0,16.0,3.0,561.0,60.0,43.0,4.0,539.0,12.5,12.0,26.0,1.0,147.0,12.3,3.0,3.0,0.0,17.0,36.0,3.0,0.0,51.0,Kentucky,Kentucky,27.5,100.0,16.0,1.0,440.0,70.0,50.0,4.0,628.0,12.6,4.0,3.0,0.0,-2.0,-0.5,1.0,0.0,0.0,4.0,13.0,7.0,0.0,28.0
Zavion Thomas,Wide Receiver,LSU,SEC,70.0,190,4.28,,36.0,,,,4,0,0,0,0,0,0,LSU,1.0,0.0,0.0,19.0,48.0,1.0,99.0,5.2,62.0,41.0,4.0,488.0,11.9,10.0,39.0,17.0,0.0,170.0,22.0,22.0,1.0,0.0,22.0,LSU,1.0,0.0,0.0,21.0,23.0,2.0,218.0,9.5,9.0,26.0,0.0,76.0,8.4,26.4,95.0,24.0,1.0,633.0,4.7,17.0,14.0,0.0,66.0,33.7,94.0,6.0,1.0,202.0,35.0,40.0,1.0,503.0,12.6,12.0,11.0,0.0,23.0,1.9,1.0,0.0,0.0,11.6,31.0,14.0,0.0,163.0,Mississippi State,Mississippi State,23.8,27.0,4.0,0.0,95.0,5.0,2.0,0.0,4.0,2.0,,,,,,1.0,1.0,0.0,13.5,63.0,15.0,1.0,202.0
Eric McAlister,Wide Receiver,TCU,Big 12,76.0,194,,,,,,,2,0,0,0,0,0,0,TCU,3.0,0.0,0.0,,,,,,85.0,72.0,10.0,1190.0,16.5,,,,,,,,,,,TCU,,,,84.0,39.0,5.0,762.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Benson,Wide Receiver,Oregon,Pac-12,72.0,189,4.37,,32.5,122.0,,,3,0,0,0,0,0,0,Oregon,,,,1.0,0.0,0.0,-4.0,-4.0,64.0,43.0,6.0,719.0,16.7,20.4,85.0,7.0,1.0,143.0,,,,,,Florida State,1.0,0.0,0.0,67.0,25.0,1.0,311.0,12.4,2.0,7.0,0.0,2.0,1.0,,,,,,0.0,3.0,2.0,0.0,0.0,,,,,,33.0,13.0,1.0,162.0,12.5,,,,,,,,,,,,,,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Law,Wide Receiver,Kentucky,SEC,71.0,203,4.45,21.0,42.0,128.0,,,4,0,0,0,0,0,0,Kentucky,,,,8.0,16.0,0.0,53.0,6.6,71.0,53.0,3.0,540.0,10.2,2.7,11.0,3.0,0.0,8.0,19.3,40.0,9.0,0.0,174.0,Alabama,1.0,1.0,0.0,22.0,10.0,1.0,105.0,10.5,8.0,21.0,0.0,30.0,3.8,26.2,52.0,5.0,0.0,131.0,,,,,,22.5,33.0,18.0,0.0,405.0,34.0,15.0,0.0,135.0,9.0,,,,,,,,,,,,,,Alabama,Alabama,,,,,,39.0,8.0,0.0,103.0,12.9,,,,,,1.0,1.0,0.0,-2.0,-2.0,1.0,0.0,-2.0
Harrison Wallace III,Wide Receiver,Ole Miss,SEC,72.0,192,,,,,,,4,0,0,0,0,0,0,Ole Miss,1.0,1.0,0.0,3.0,6.0,0.0,1.0,0.3,55.0,61.0,4.0,934.0,15.3,8.1,26.0,14.0,0.0,113.0,,,,,,Penn State,,,,50.0,47.0,4.0,732.0,15.6,,,,,,,,,,,,,,,,,,,,,29.0,19.0,1.0,228.0,12.0,,,,,,1.0,1.0,0.0,,,,,,Penn State,Penn State,,,,,,48.0,19.0,1.0,273.0,14.4,,,,,,,,,,,,,
Caullin Lacy,Wide Receiver,Louisville,American Athletic,69.0,183,4.55,,33.5,116.0,,,2,0,0,0,0,0,0,Louisville,1.0,1.0,0.0,15.0,11.0,0.0,53.0,3.5,48.0,60.0,2.0,635.0,10.6,18.2,93.0,25.0,2.0,454.0,20.9,40.0,12.0,0.0,251.0,Louisville,,,,34.0,18.0,1.0,196.0,10.9,5.0,9.0,1.0,21.0,4.2,38.2,100.0,5.0,1.0,191.0,5.8,25.0,6.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaden Wetjen,Wide Receiver,Iowa,Big Ten,69.0,193,4.47,,35.5,,6.95,4.44,3,0,0,0,0,0,0,Iowa,1.0,1.0,0.0,15.0,21.0,2.0,79.0,5.3,28.0,20.0,1.0,151.0,7.6,26.8,95.0,21.0,3.0,563.0,29.8,100.0,16.0,1.0,476.0,Iowa,1.0,0.0,0.0,33.0,3.0,0.0,46.0,15.3,4.0,11.0,0.0,33.0,8.3,28.0,100.0,26.0,1.0,727.0,12.6,85.0,26.0,1.0,328.0,23.9,35.0,14.0,0.0,335.0,,,,,,4.0,14.0,0.0,20.0,5.0,2.0,0.0,0.0,9.0,21.0,7.0,0.0,63.0,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Dillon Bell,Wide Receiver,Georgia,SEC,73.0,209,4.5,,39.0,126.0,,,4,0,0,0,0,0,0,Georgia,1.0,1.0,0.0,17.0,43.0,2.0,109.0,6.4,36.0,27.0,2.0,268.0,9.9,,,,,,,,,,,Georgia,,,,67.0,43.0,4.0,466.0,10.8,9.0,33.0,1.0,107.0,11.9,,,,,,,,,,,22.9,39.0,7.0,0.0,160.0,35.0,29.0,2.0,355.0,12.2,25.0,29.0,2.0,157.0,6.3,2.0,1.0,0.0,,,,,,Georgia,Georgia,,,,,,24.0,20.0,3.0,180.0,9.0,,,,,,,,,,,,,
Cyrus Allen,Wide Receiver,Cincinnati,Big 12,71.0,180,,,,,,,2,0,0,0,0,0,0,Cincinnati,1.0,1.0,0.0,8.0,15.0,1.0,34.0,4.3,88.0,50.0,12.0,660.0,13.2,,,,,,,,,,,Texas A&M,,,,73.0,18.0,1.0,269.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
